"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-miR-1843a-3p",51.1570468103851,1.24385040387445,0.353071487730094,3.52294208708609,0.000426784606402904,0.00244400872260413
"mmu-miR-147-3p",11.6399949584869,-1.33104006299367,0.623729739957043,-2.13400127928058,0.0328426760991865,0.0844690581779078
"mmu-miR-92a-3p",100044.508137791,0.183826767029081,0.251097714775946,0.73209255286576,0.464112078951842,0.589591254543675
"mmu-mir-17",33.9818920291397,0.214082344855641,0.373389447155969,0.573348675186893,0.566408634210528,0.685111433789302
"mmu-mir-872",10.8264574638433,-1.51207856479269,0.576337718056151,-2.62359813945991,0.00870063749110169,0.0317291904526246
"mmu-mir-92a-2",85.579008410926,-0.0304064594201382,0.335825857438336,-0.0905423413553597,0.927856248569989,0.952547101122972
"mmu-mir-877",22.4938613094966,-0.268237388143305,0.422634629027123,-0.634679152441364,0.525637693124709,0.65231689570243
"mmu-mir-879",27.5746146309665,-2.54513352346781,0.449687585692722,-5.6597816004797,1.51565755537342e-08,2.92362365286504e-07
"mmu-mir-92a-1",3101.74516077984,-0.592502671976178,0.265594311580797,-2.23085603170356,0.0256906669957024,0.0706015482583745
"mmu-miR-708-3p",68.3363050156148,-1.32763377667622,0.442429896330105,-3.00077772250195,0.00269291060307384,0.0116799022014978
"mmu-miR-7015-3p",17.2346845554702,0.908397525501246,0.495683954810584,1.83261434364639,0.0668599435390848,0.143719468076684
"mmu-miR-1843a-5p",859.60942771094,-0.27697299610361,0.250435200773735,-1.10596671413557,0.268740926773059,0.39875931037379
"mmu-miR-466b-3p",13.7705073431824,1.19231663069003,0.549675379113106,2.1691286821211,0.0300729156919324,0.0778920395836976
"mmu-mir-409",1.89607095604519,-1.43555887843944,1.24928245946698,-1.14910672727442,0.250511974766766,NA
"mmu-miR-146b-5p",305398.231612,-0.49287858411986,0.266530752332928,-1.84923720736058,0.0644235683010652,0.140126040251278
"mmu-miR-29b-2-5p",25.3535876612752,-0.887235410153922,0.406014587723998,-2.18523037590228,0.0288719593762231,0.076126425261768
"mmu-miR-1298-3p",38.1277150326678,-1.17863546238452,0.372268118676502,-3.16609294014979,0.00154501420408437,0.00749996961320424
"mmu-miR-147-5p",26.0591803681842,-0.639077513044895,0.515898355000013,-1.23876633226497,0.215432045538165,0.33598231782867
"mmu-miR-434-3p",153.678541149108,0.342809404212932,0.333525578066154,1.02783542479892,0.304027249525791,0.43440930585264
"mmu-mir-411",21.7045703591336,-0.494511439951286,0.441480645437903,-1.12012031571799,0.262662494405164,0.393725170550071
"mmu-miR-708-5p",56.7300404989966,-0.533757662020413,0.474251286843569,-1.125474356797,0.260388077652218,0.391115698604664
"mmu-mir-421",17.8283286750847,0.202146893346819,0.48396361586453,0.417690269930135,0.676173587238083,0.763690661703413
"mmu-miR-500-5p",4.02950986353531,0.508826922832284,0.868567247404044,0.585823290428065,0.557994270723489,NA
"mmu-mir-423",107.111155040044,0.841230216324009,0.306489547504493,2.74472726125081,0.00605612059944462,0.023487494176682
"mmu-mir-425",53.7797954718692,-0.071674684644449,0.325224682047396,-0.220385132497427,0.825571223333336,0.874485125293837
"mmu-miR-467d-3p",11.1180777179205,-0.229365805299924,0.586645821452771,-0.390978332943585,0.695813251491792,0.777486453267505
"mmu-mir-429",14.9059669940875,-0.50133576363635,0.515990767706834,-0.971598321156766,0.331250418071237,0.458353834531387
"mmu-mir-297b",4.23609408996708,-0.386610589685715,0.837931694000588,-0.461386760345461,0.644521148588517,NA
"mmu-mir-297c",3.34153652332287,-0.35847093080314,0.949691993837689,-0.377460200916894,0.70583163576092,NA
"mmu-miR-146b-3p",13.1210704039733,0.672889340817929,0.535709884372206,1.25607042253193,0.209090438669361,0.32959847644009
"mmu-miR-434-5p",128.246198077371,0.702760302313933,0.341086790363861,2.06035625584987,0.0393644955573447,0.0971521051970831
"mmu-miR-30c-5p",64202.2073608368,-0.516297279062085,0.247439750193192,-2.08655755051069,0.0369281478568134,0.0923833869591953
"mmu-mir-365-1",13.0183843533782,-0.831623941316795,0.510638747487616,-1.628595451106,0.103398687882908,0.198406382770082
"mmu-mir-434",19.1948648959119,0.319543311306484,0.493061430915289,0.648080119982825,0.516933131326734,0.644680884882038
"mmu-mir-365-2",35.2480973916512,1.18049319792702,0.399482921426557,2.95505298126755,0.00312615360946167,0.0134792387984436
"mmu-miR-184-3p",105.438611656224,0.0245277771373055,0.376625181957006,0.0651251650509802,0.948074344147082,0.966534762531031
"mmu-miR-320-3p",2041.90323288507,-0.144060692017217,0.250661506884241,-0.574722037730933,0.565479300654527,0.685111433789302
"mmu-miR-669p-5p",34.247981544649,0.816832274819695,0.390082770023062,2.09399731952119,0.036260219030518,0.091039299393398
"mmu-miR-669a-5p",34.247981544649,0.816832274819695,0.390082770023062,2.09399731952119,0.036260219030518,0.091039299393398
"mmu-miR-378b",31.6020143869857,-0.835420720515068,0.474946568556335,-1.75897832687673,0.078581189841873,0.161797786949699
"mmu-miR-3086-5p",52.4303366131779,-0.859180721370126,0.337889438373658,-2.5427865561752,0.0109972384845287,0.0382036768206614
"mmu-miR-378d",29.9025461515261,-0.876758975646592,0.438156264837867,-2.00101891951955,0.0453903510464523,0.109444497753452
"mmu-miR-378c",213.067811957686,-0.624400185579393,0.315371115008971,-1.97989021778875,0.0477158658429063,0.112985261603208
"mmu-mir-299a",2.78773363125466,-1.51494828233388,1.0721821300069,-1.41295796668812,0.157668083493017,NA
"mmu-miR-467d-5p",5.53011587775226,1.5672173675271,0.829864614782066,1.88852174151163,0.0589559419663462,0.130953652913126
"mmu-miR-298-5p",31.6493394351195,1.23005161381387,0.397206766802106,3.09675392420164,0.00195652214204324,0.0089076442864453
"mmu-miR-491-5p",7.31014926863248,0.600583270163509,0.672245597736865,0.893398591504937,0.371643756679631,0.502610467981862
"mmu-mir-199a-2",4285.21046903137,-0.398938971603195,0.24233043642807,-1.64626027784013,0.0997101838234372,0.194520781782744
