DB	Name	ID	Count
miRBase	mmu-miR-1843a-3p	-	17
miRBase	mmu-miR-215-5p	-	55
miRBase	mmu-miR-21a-3p	-	395
miRBase	mmu-miR-669c-5p	-	13
miRBase	mmu-miR-6996-5p	-	1
miRBase	mmu-miR-296-5p	-	6
miRBase	mmu-miR-7049-5p	-	1
miRBase	mmu-miR-467b-5p	-	2
miRBase	mmu-miR-3535	-	25345
miRBase	mmu-miR-330-5p	-	112
miRBase	mmu-miR-342-5p	-	16
miRBase	mmu-miR-147-3p	-	6
miRBase	mmu-miR-5624-5p	-	2
miRBase	mmu-miR-92a-3p	-	49040
miRBase	mmu-miR-29b-3p	-	506
miRBase	mmu-miR-7072-5p	-	1
miRBase	mmu-miR-3066-3p	-	1
miRBase	mmu-mir-17	-	12
miRBase	mmu-mir-872	-	8
miRBase	mmu-mir-92a-2	-	23
miRBase	mmu-mir-692-3	-	3
miRBase	mmu-mir-877	-	9
miRBase	mmu-miR-182-5p	-	27353
miRBase	mmu-mir-692-1	-	1
miRBase	mmu-mir-879	-	14
miRBase	mmu-mir-692-2	-	3
miRBase	mmu-mir-92a-1	-	2107
miRBase	mmu-miR-708-3p	-	20
miRBase	mmu-miR-7015-3p	-	8
miRBase	mmu-miR-1843a-5p	-	520
miRBase	mmu-miR-21a-5p	-	53996
miRBase	mmu-miR-466b-3p	-	2
miRBase	mmu-miR-7049-3p	-	1
miRBase	mmu-miR-330-3p	-	13
miRBase	mmu-miR-329-5p	-	6
miRBase	mmu-miR-99b-3p	-	161
miRBase	mmu-mir-409	-	1
miRBase	mmu-miR-146b-5p	-	187687
miRBase	mmu-miR-29b-2-5p	-	12
miRBase	mmu-miR-1298-3p	-	31
miRBase	mmu-miR-147-5p	-	3
miRBase	mmu-miR-434-3p	-	72
miRBase	mmu-mir-652	-	1
miRBase	mmu-mir-410	-	1
miRBase	mmu-mir-653	-	75
miRBase	mmu-mir-411	-	12
miRBase	mmu-mir-412	-	1
miRBase	mmu-miR-30a-5p	-	810792
miRBase	mmu-miR-199b-3p	-	10599
miRBase	mmu-miR-708-5p	-	21
miRBase	mmu-miR-497a-3p	-	30
miRBase	mmu-miR-181b-2-3p	-	1
miRBase	mmu-miR-6960-5p	-	2
