"","Lung_F1","Lung_F2","Lung_F3","Lung_M1","Lung_M2","Lung_M3"
"mmu-let-7a-1-3p/7c-2-3p",6.3490217542661,6.38700013463157,6.02624173539502,3.94211747254568,4.69005998510277,4.04244544762679
"mmu-let-7a-5p",12.212090971352,11.952501406212,12.8116499027119,12.5431994323293,13.0823051319774,12.5713159374161
"mmu-let-7b-3p",6.3903328222829,6.23192820325475,6.09148630242714,5.89082337401848,5.80267548617826,5.43105720179411
"mmu-let-7b-5p",10.9554777268726,10.8245128040587,11.3575967557221,11.570756596955,11.8193893772269,11.6346451348452
"mmu-let-7c-5p",12.71347226513,12.4569107827191,13.0894769393135,13.541423008841,13.7087967917634,13.5981337560903
"mmu-let-7d-3p",7.7660194737229,7.70886172436755,7.75064763525749,7.07607370561302,7.54676772886235,6.89521237547684
"mmu-let-7d-5p",9.19905459718694,8.94407908312875,9.6365664409542,10.5346762266147,10.78209451685,10.5678569523056
"mmu-let-7e-3p",3.52271195242422,3.27945367445063,2.63022176159692,1.89432103870217,2.75605381845631,2.16560133980965
"mmu-let-7e-5p/7k",8.6939313820116,8.31230088846465,9.01368431404787,8.8160388245776,9.39714481614395,8.89125533892439
"mmu-let-7f-5p",13.7214620267705,13.3093549321484,14.4056884134169,14.1324522466755,14.4262097332048,14.1198132048133
"mmu-let-7g-3p",2.80963150839626,3.14982972478454,2.49207722353568,1.1888598668727,1.18344738817379,1.2665587764865
"mmu-let-7g-5p",11.2227973987493,10.9162352496631,11.6560262416861,11.0786552297966,11.3194473084842,11.0801759086921
"mmu-let-7i-3p",2.04813132019274,3.95888850533802,3.65516535847706,1.60237746872264,2.27591576019455,2.31594954282314
"mmu-let-7i-5p",12.4438501617634,12.235333863189,12.9231339387416,12.5206364493873,12.9232857116471,12.4534084067471
"mmu-miR-100-3p",0.515492979551041,-0.479568322431548,-0.461400228364816,-0.533996703711677,-0.28560949585833,-1.03070989773846
"mmu-miR-100-5p",9.22191445234263,9.42851742359147,8.8589232558418,9.92593628071262,9.74224005545317,9.8585343887976
"mmu-miR-101a-3p/101b-3p/101c",11.7685554222068,12.5473879333073,12.6513069204839,11.1377485385204,10.9689778386462,11.1668381097748
"mmu-miR-101a-5p",2.8609156570055,3.17965824994406,1.90358404399079,2.87767890348347,2.66897871053805,3.35554303705567
"mmu-miR-103-3p/107-3p",10.7076604550384,10.6274857000124,10.9107443686385,9.9130853124764,9.88682101041345,9.92228384521675
"mmu-miR-106b-3p",5.06163231520156,4.50392242153503,5.00884285757765,4.96632120486388,4.91169372862627,4.87234796847277
"mmu-miR-106b-5p",5.89140550565695,6.11136098913774,5.8203388474644,5.19213839130005,5.23839262588889,5.33647486767945
"mmu-miR-10a-3p",5.39019186984997,5.32284542757456,4.69922007637999,4.96980912061752,4.98261869477491,5.10359784929141
"mmu-miR-10a-5p",17.3906263602722,17.4423948266201,17.5177285889734,17.917673451825,17.7887651291826,17.9214890526381
"mmu-miR-10b-3p",-0.58130479428196,1.01085579813207,-0.128587024169482,0.374071295485575,0.0260640652997853,0.264566804165837
"mmu-miR-10b-5p",12.7925214044405,13.9569137106532,13.4604624668465,12.4683872281393,12.1137009386814,12.571796089847
"mmu-miR-1191b-5p",0.23361162855132,1.25455694095698,1.66724610348043,1.49027259164489,0.802091569379519,1.05474033214032
"mmu-miR-1198-5p",4.60571693863158,4.49208417847435,4.43588016670788,4.54326082812909,4.79659589998405,4.54022959847504
"mmu-miR-12199-3p",0.751198339633296,0.544838748557583,0.73856069700464,0.606932365734159,1.18344738817379,0.390429872693409
"mmu-miR-122-5p",1.01540297913867,2.36937790254274,2.79597367607261,3.39613752014445,4.74075715504632,3.79176420294411
"mmu-miR-1249-3p",5.14330208375772,5.07954864810519,4.90378028724247,5.71908654344828,5.42932273524593,5.5077157930645
"mmu-miR-125a-3p",2.07733484078344,2.4202395742315,2.49207722353568,3.42691576813922,3.77396475197383,3.48816975843431
"mmu-miR-125a-5p",12.8437759806603,12.499594105096,12.4355472427261,14.1024603576029,14.0737485192282,13.8957084563288
"mmu-miR-125b-1-3p",5.06163231520156,4.44986818695213,4.5212326340812,5.75187056904487,5.90465884595571,5.95242226073832
"mmu-miR-125b-2-3p",7.01172507959287,8.22559354541758,8.18641057490885,8.3643790884125,8.24966317977955,8.27415708164554
"mmu-miR-125b-5p",9.65935952000815,9.47455318963599,9.23826511417452,11.030461056418,11.0164130168204,10.9526566213727
"mmu-miR-1264-3p",3.7841476544907,3.05645509478628,2.90887682729401,3.13543830965663,3.01334831318491,3.33220290468959
"mmu-miR-1264-5p",-1.00225098336507,-0.479568322431548,0.141658760660133,-0.533996703711677,-1.02717750853915,-0.497187760304587
"mmu-miR-126a-3p",12.6724580462515,12.3238508297619,12.00808631684,12.0412471428329,12.2268091675396,12.0793740975268
"mmu-miR-126a-5p",13.7266374774887,13.1247130683898,12.7927704022105,11.30943756232,11.9472800215778,11.0692618694397
"mmu-miR-127-3p",8.58948209642485,8.72483939775831,7.91172952918275,8.08489524531104,7.69966398405494,8.13018180835041
"mmu-miR-127-5p",0.515492979551041,1.60164688558009,1.27637394721116,0.807379378630064,-1.02717750853915,0.664078165859705
"mmu-miR-128-1-5p",1.01540297913867,0.871599096610692,1.3844586935178,0.606932365734159,0.116598406862313,1.12885617922585
"mmu-miR-128-3p",4.73045289402994,3.95026177933858,4.1445693607931,5.36632832587464,6.316341330952,5.02085717376412
"mmu-miR-1298-3p",2.07733484078344,2.14584621185261,2.58562735585971,1.36871706612281,1.09713752129478,1.12885617922585
"mmu-miR-1298-5p",6.94496665588085,6.54574182505164,6.73650836326462,5.77597876441461,5.45990608832145,5.65137144540162
"mmu-miR-130a-3p",9.74474491452376,9.94017210589687,9.04901500255183,10.2045952089279,10.2201909447575,10.0767764866034
"mmu-miR-130b-3p",4.7350415774111,4.53886523419307,3.11119962217034,5.70450589201697,6.03370037463459,5.58050577453678
"mmu-miR-130b-5p",0.00954229533658619,1.01085579813207,0.141658760660133,2.38705515309265,2.49425979265822,2.0933968123436
"mmu-miR-132-3p",3.38934586593541,3.95888850533802,4.1445693607931,3.0055264786136,3.61998250039141,2.97843385699987
"mmu-miR-132-5p",0.00954229533658619,0.348732124804192,-0.128587024169482,0.0962519770077759,0.116598406862313,0.390429872693409
"mmu-miR-133a-3p/133b-3p",6.81987709528217,9.48877122176623,8.17704758495623,9.83825687301425,7.23377210587768,10.6501862863783
"mmu-miR-133a-5p",-0.58130479428196,1.13784603599839,0.565660087143365,0.455939521643422,-1.47883328159177,1.33077565903923
"mmu-miR-135b-5p",-0.255843066532933,-0.679263368005969,-0.461400228364816,-1.36603617942778,-1.02717750853915,-0.289835877757789
"mmu-miR-136-3p",6.35350494748131,6.72078991464655,5.99247853474244,4.52440961815383,4.30834632997562,4.64497533509723
"mmu-miR-136-5p",3.46863284859048,4.01787301034608,3.26051311383642,3.63454785935269,3.33894664631196,3.70961718021054
"mmu-miR-138-5p",1.47642884275648,1.19738137422951,0.369180186678799,-0.248141523592718,0.855648752755309,1.36184306336388
"mmu-miR-139-5p",3.12142001529716,3.54309398403766,2.28454090336071,3.50591864294315,3.80151889657106,3.70961718021054
"mmu-miR-140-3p",9.14383137970311,10.4724143705319,11.2540953365202,9.70687179873165,9.56530588915449,9.80805399262839
"mmu-miR-140-5p",5.91586189692306,6.26360859003925,5.34613456211655,5.48076143709861,5.15806969502168,5.55384827620312
"mmu-miR-141-3p",13.1011677743302,13.1369849595089,12.541723090543,13.5685083859638,13.2506918123331,13.5544751844645
"mmu-miR-141-5p",3.71149961037874,4.14427329211246,4.38473991872274,3.96326895787322,3.86818624081494,3.91732390113777
"mmu-miR-142a-3p",7.44883431875445,7.76096982145392,6.96041005929381,8.02914982958826,7.86058908983617,8.19765557535031
"mmu-miR-142a-5p",11.4778469055511,11.1052531041388,10.0208058627467,11.8811027823581,11.9146550862297,11.9536539329326
"mmu-miR-143-3p",15.0915003463751,16.6640368240698,17.034839427539,16.7540642055709,16.5283714829504,16.8798550981929
