"","Lung_F1","Lung_F2","Lung_F3","Lung_M1","Lung_M2","Lung_M3"
"mmu-miR-1843a-3p",1.26012582193516,1.3197759425795,1.68343742691347,2.76368457443345,2.58808554696131,2.31134562980403
"mmu-miR-147-3p",1.30760911824284,-0.144109674128181,0.300324097189636,-0.798402133129271,-1.29049395007833,0.0880783172425862
"mmu-miR-92a-3p",12.5826919431734,13.0178130436333,13.1081307760473,13.1470913669329,13.0427628256051,13.0109351297808
"mmu-mir-17",1.39812974673174,1.70046812242106,1.20895104647659,1.76577924561568,1.5143085200652,1.62722843121836
"mmu-mir-872",0.436481926995827,0.576492385838276,0.670398338944885,-0.798402133129271,-0.330416232598705,-1.13579998316825
"mmu-mir-92a-2",3.25216458394358,2.98919653777808,2.10171636738563,2.67071490944491,2.78969302363185,2.98212668767838
"mmu-mir-877",1.30760911824284,1.16672177489943,0.825018694817372,1.09021693801901,0.816842882502429,0.650316461928938
"mmu-mir-879",2.35615699153934,2.11732023794619,1.41780461423644,-0.345738711756523,-0.330416232598705,-0.217038367062522
"mmu-mir-92a-1",7.84198459995756,8.31097963635826,8.56798401882735,7.67004937856559,7.70727489624467,7.54939748941605
"mmu-miR-708-3p",2.642021391119,3.86363353354748,1.90768299204315,1.98757349974235,1.34172325814738,1.78399338735226
"mmu-miR-7015-3p",0.154284541316234,-0.284224060992063,0.670398338944885,1.2271124752446,0.91867541783923,0.650316461928938
"mmu-miR-1843a-5p",6.24577697847207,6.02557475220908,6.55112975648135,5.97936637876139,6.07332814371157,5.86803082680932
"mmu-miR-466b-3p",0.154284541316234,-0.284224060992063,-0.96793194371937,0.645187348177885,1.22730415716384,0.39641479586282
"mmu-mir-409",-1.68300093978931,-1.04048173602748,-1.59425712336473,-1.77385357682912,-2.21381814545276,-2.3089806902735
"mmu-miR-146b-5p",15.0394600931252,14.3853185483849,15.0444103746479,14.4595188441191,14.2746823924725,14.2174238636508
"mmu-miR-29b-2-5p",1.71226352482586,1.58438552536052,1.20895104647659,0.508593790951443,0.91867541783923,0.60298560206687
"mmu-miR-1298-3p",1.97007822647598,2.00138958039645,2.51918017711561,1.2271124752446,0.868657444072358,0.905695838353519
