"","Lung_F1","Lung_F2","Lung_F3","Lung_M1","Lung_M2","Lung_M3"
"mmu-miR-206",-1.9077901029429,-1.86061008914258,-1.34806997522604,-1.5768061980225,-1.6805640528943,-0.484903061401658
"mmu-miR-133b",0.0320079367758808,2.26987302014416,0.351686056883276,1.29690421707395,-0.450446431540544,2.24163092829239
"mmu-miR-30a",17.5511305645564,17.5771216196627,17.497824366415,17.2823685474193,17.1271876596698,17.1532647955652
"mmu-miR-30c",12.1631830406725,11.9739851176197,11.7176518751274,11.3509452591427,11.53350170446,11.2085382950145
"mmu-miR-6899",1.94754854276677,1.75526868870942,1.70634366063863,1.97303839797521,1.93007808668372,1.65807828266076
"mmu-miR-26b",13.2846614381195,13.1744781652663,13.3696525359919,12.9377964016077,12.6957159537439,12.9434080942644
"mmu-miR-375",9.25092744843223,9.2970612914801,9.13419202930443,9.1393330565025,8.68348864805964,9.07084886404269
"mmu-miR-3535",12.0622748520411,12.1336452050436,12.5883679849463,11.2501440802528,11.2139764544415,10.7362308873672
"mmu-miR-149",2.4745752730748,3.46255899273436,2.61678988880497,3.90924721834897,3.23401600884216,4.16293080275308
"mmu-miR-6901",0.580041952697923,-0.537918183633258,0.581938833112734,0.097190241822004,0.369186124055166,-0.379322171328833
"mmu-miR-128",4.4089604844823,3.76634578010721,4.04542855725951,5.06821336953062,5.87459792075377,4.58105595170606
"mmu-miR-135b",-0.262831178899763,-0.772473276357358,-0.261129923555066,-1.5768061980225,-0.938186478375721,-0.722520283866706
"mmu-miR-1231",-1.46996056231552,-1.40083123372756,-1.34806997522604,-0.428062555249921,-1.14588447365065,-1.36207161366918
"mmu-miR-181a",14.3460231308697,13.8041790899216,14.6308210912084,14.6290097551718,14.6265811055723,14.3934512417653
"mmu-miR-181b",9.18664271940208,9.1504907043726,9.71142768466357,9.76382730178752,9.78682258043347,9.5225256443194
"mmu-miR-8114",3.60554840986014,2.86853514900916,3.6733405866134,3.932566174742,3.47096072934677,3.2729779002172
"mmu-miR-488",-0.862560501446101,-1.05270954680847,-0.261129923555066,-1.26246761664435,-1.14588447365065,-1.17371987608764
"mmu-miR-1843b",7.15840262030096,6.88254800508963,7.48758668429244,7.23041510530064,7.20086436198686,7.0615785097274
"mmu-miR-199a",11.6890813383321,11.387718541164,11.0987038189714,11.3495472815826,11.244547128308,11.1786284421888
"mmu-miR-214",6.60450859416972,6.55004989826835,6.31183452651827,7.01974938902764,6.80997397054789,6.75888278649786
"mmu-miR-350",3.92563785017151,3.98926356647813,3.92476351091372,4.05802781238024,4.54436475618752,4.16293080275308
"mmu-miR-1981",3.67122616476862,3.46255899273436,3.9036337209283,3.8203671824715,3.91426662782121,3.51812777701982
"mmu-miR-664",6.09980032629342,5.89220085944282,5.6649704885616,5.24626177417207,5.5881310202557,5.04419550537197
"mmu-miR-194",3.88007153802445,3.8514448466658,3.36865634509457,4.21841230264205,4.22617217186692,4.16729374511953
"mmu-miR-215",3.52494305272443,2.92851920900856,3.6733405866134,3.29302616253867,2.88352928600875,3.42646166578899
"mmu-miR-205",3.26621384660753,4.45125945744656,3.79307740972533,3.48400701901578,3.15688240760735,4.91524688134519
"mmu-miR-29b",6.88499050420219,7.31121153153128,5.96949137337913,6.77512536336315,6.69872368894735,6.672511329017
"mmu-miR-29c",8.58317638702622,8.57880386473078,7.72892817634315,8.40724574729989,8.29082266998227,8.31554171382072
"mmu-miR-669f",-1.9077901029429,-1.86061008914258,-1.34806997522604,-1.00451515861868,-0.595444723383553,-1.17371987608764
"mmu-miR-669b",-0.633820925443778,-1.05270954680847,-1.34806997522604,-1.26246761664435,-0.756661281287292,-0.85782400368093
"mmu-miR-669d",-0.436433739955545,-0.537918183633258,-0.704569261752954,-1.5768061980225,-0.595444723383553,-1.00714299504502
"mmu-miR-467c",1.04393447830269,-0.336217923255599,-0.704569261752954,1.55907773344122,1.87609700526306,1.08755758865435
"mmu-miR-466c",-1.46996056231552,-1.86061008914258,-1.34806997522604,-0.595855371800333,-1.14588447365065,-1.5787593839371
"mmu-miR-467e",1.17045480265103,1.40731705870062,1.25101817443969,1.47686882936446,1.46525304939838,1.2931711448082
"mmu-miR-467d",-0.107892772477929,-0.537918183633258,-0.261129923555066,0.976266493940862,0.652167776592274,0.330078094093431
"mmu-miR-669c",1.10858113113144,1.40731705870062,1.60526616141701,1.67422370269234,1.93007808668372,1.7997009050257
"mmu-miR-669m",-0.436433739955545,-1.86061008914258,-0.261129923555066,-0.277767481488384,-0.0865928309766645,-1.00714299504502
"mmu-miR-669o",-0.633820925443778,-1.05270954680847,-0.704569261752954,-0.0172989026877172,0.445302863446595,0.330078094093431
"mmu-miR-511",2.42466762941697,2.47151636423392,1.49656987794262,1.34404334817174,1.93007808668372,1.26087339290683
"mmu-miR-7655",0.159533435234568,0.868391110778748,0.95492320752559,-0.428062555249921,0.016810306436979,-0.0206137230482356
"mmu-miR-3087",-1.13452809982393,-1.40083123372756,0.0775747058144066,-1.00451515861868,-0.938186478375721,-1.00714299504502
"mmu-miR-6996",-0.862560501446101,-0.772473276357358,-0.704569261752954,0.714521306761487,0.28882867920702,0.130035353839157
"mmu-miR-126a",14.4496949062174,13.9408706104708,13.6911063499883,12.9136930769207,13.25969200982,12.7290605595278
"mmu-miR-7674",-1.46996056231552,-1.86061008914258,-1.34806997522604,-1.00451515861868,-1.38859492757398,-1.83384498546775
"mmu-miR-199b",9.40626456995281,9.16328998330811,8.45729170440149,8.54695105532148,8.34647033921474,8.51250525787868
"mmu-miR-5128",-1.46996056231552,-1.86061008914258,-1.34806997522604,-1.5768061980225,-2.0470123001681,-1.5787593839371
"mmu-miR-5129",1.10858113113144,0.94783586719511,0.351686056883276,0.203257987160242,0.58645427391845,0.0566763070707243
"mmu-miR-7224",2.70109510515861,1.88203456712072,2.33049958300911,1.67422370269234,1.90334000639481,1.82200975955709
"mmu-miR-10b",12.9426171441812,14.1056436825054,13.6800085070061,12.6525802123355,12.2709445740077,12.6331240255052
"mmu-miR-130a",9.86835193844367,10.0778982506369,9.23965765138725,10.343765481406,10.3408474946687,10.1004409637185
"mmu-miR-1955",1.34158820160194,1.02313323702769,1.60526616141701,2.00271978659297,2.30169693558924,1.90794763768261
"mmu-miR-129",-0.633820925443778,-0.00170730408483382,0.0775747058144066,-1.97928256348297,-0.595444723383553,-1.00714299504502
"mmu-miR-674",4.9662358214398,5.98457821781048,6.00464662372452,5.61871847211708,5.49718268261005,5.31386842326075
"mmu-miR-147",2.49889625253646,1.2902664663085,0.351686056883276,0.976266493940862,0.369186124055166,0.803528048264624
"mmu-miR-103",9.76168151681691,9.6638566465707,9.99884089789803,8.97965681255956,8.92173802390664,8.85117490790021
"mmu-miR-499",-1.46996056231552,-1.05270954680847,-0.704569261752954,-0.428062555249921,-0.938186478375721,0.130035353839157
"mmu-miR-296",0.385054692703087,0.599862989203144,1.25101817443969,0.302058793722483,0.652167776592274,0.559830438412228
"mmu-miR-298",0.830553777408695,1.09469484609195,1.25101817443969,2.29432000600206,2.03233435534974,2.1387463897059
