DB	Name	ID	Count
miRBase	mmu-miR-297b-5p	-	4
miRBase	mmu-miR-7084-5p	-	2
miRBase	mmu-miR-1843a-3p	-	91
miRBase	mmu-miR-147-3p	-	4
miRBase	mmu-miR-92a-3p	-	130997
miRBase	mmu-mir-17	-	42
miRBase	mmu-mir-872	-	10
miRBase	mmu-mir-874	-	4
miRBase	mmu-mir-92a-2	-	105
miRBase	mmu-mir-877	-	25
miRBase	mmu-mir-879	-	10
miRBase	mmu-mir-92a-1	-	3242
miRBase	mmu-miR-708-3p	-	37
miRBase	mmu-miR-7015-3p	-	27
miRBase	mmu-miR-1843a-5p	-	1043
miRBase	mmu-miR-466b-3p	-	34
miRBase	mmu-miR-297b-3p	-	1
miRBase	mmu-miR-6950-3p	-	2
miRBase	mmu-mir-409	-	1
miRBase	mmu-miR-146b-5p	-	307688
miRBase	mmu-miR-29b-2-5p	-	27
miRBase	mmu-miR-7060-5p	-	2
miRBase	mmu-miR-1298-3p	-	26
miRBase	mmu-miR-147-5p	-	30
miRBase	mmu-miR-434-3p	-	241
miRBase	mmu-miR-3569-3p	-	2
miRBase	mmu-mir-410	-	1
miRBase	mmu-mir-411	-	17
miRBase	mmu-miR-708-5p	-	45
miRBase	mmu-miR-466b-5p	-	2
miRBase	mmu-mir-421	-	35
miRBase	mmu-miR-500-5p	-	8
miRBase	mmu-miR-6925-5p	-	6
miRBase	mmu-mir-423	-	195
miRBase	mmu-mir-425	-	75
miRBase	mmu-miR-467d-3p	-	14
miRBase	mmu-mir-429	-	24
miRBase	mmu-mir-297b	-	3
miRBase	mmu-mir-297c	-	1
miRBase	mmu-miR-146b-3p	-	24
miRBase	mmu-miR-434-5p	-	176
miRBase	mmu-miR-491-3p	-	1
miRBase	mmu-mir-431	-	1
miRBase	mmu-miR-30c-5p	-	75748
miRBase	mmu-mir-1668	-	4
miRBase	mmu-mir-365-1	-	11
miRBase	mmu-mir-434	-	22
miRBase	mmu-mir-365-2	-	81
miRBase	mmu-miR-184-3p	-	141
miRBase	mmu-miR-320-3p	-	2658
miRBase	mmu-miR-3098-3p	-	8
miRBase	mmu-miR-669p-5p	-	74
miRBase	mmu-miR-669a-5p	-	74
miRBase	mmu-miR-378b	-	14
miRBase	mmu-miR-3086-5p	-	55
miRBase	mmu-miR-378d	-	31
miRBase	mmu-miR-378c	-	144
miRBase	mmu-mir-448	-	1
miRBase	mmu-mir-299a	-	1
miRBase	mmu-miR-467d-5p	-	14
miRBase	mmu-miR-298-5p	-	51
miRBase	mmu-miR-6998-5p	-	1
miRBase	mmu-miR-491-5p	-	10
miRBase	mmu-mir-199a-2	-	4936
miRBase	mmu-miR-3086-3p	-	2
miRBase	mmu-mir-199a-1	-	4934
miRBase	mmu-mir-452	-	16
miRBase	mmu-mir-455	-	30
miRBase	mmu-miR-127-3p	-	3045
miRBase	mmu-mir-1a-2	-	13
miRBase	mmu-miR-19b-3p	-	1664
miRBase	mmu-mir-1a-1	-	13
miRBase	mmu-miR-669a-3p	-	53
miRBase	mmu-mir-6901	-	4
miRBase	mmu-miR-6994-3p	-	1
miRBase	mmu-miR-190a-3p	-	12
miRBase	mmu-miR-504-5p	-	1
miRBase	mmu-mir-98	-	6
miRBase	mmu-miR-3475-3p	-	3
miRBase	mmu-miR-340-3p	-	310
miRBase	mmu-miR-770-3p	-	1
miRBase	mmu-mir-93	-	28
miRBase	mmu-mir-6916	-	2
miRBase	mmu-mir-6911	-	1
miRBase	mmu-miR-7a-5p	-	1120
miRBase	mmu-miR-1983	-	7
miRBase	mmu-miR-376b-5p	-	80
miRBase	mmu-miR-201-5p	-	5
miRBase	mmu-mir-6917	-	1
miRBase	mmu-miR-872-3p	-	794
miRBase	mmu-miR-7682-5p	-	1
miRBase	mmu-miR-5099	-	2347
miRBase	mmu-miR-127-5p	-	3
miRBase	mmu-mir-490	-	30
miRBase	mmu-miR-195b	-	2
miRBase	mmu-miR-7040-5p	-	1
miRBase	mmu-miR-8120	-	3
miRBase	mmu-miR-135b-5p	-	5
miRBase	mmu-mir-1231	-	2
miRBase	mmu-miR-24-2-5p	-	13069
miRBase	mmu-miR-7007-3p	-	1
miRBase	mmu-miR-139-3p	-	44
miRBase	mmu-miR-3091-3p	-	2
miRBase	mmu-mir-484	-	20
miRBase	mmu-mir-485	-	5
miRBase	mmu-miR-7219-3p	-	9
miRBase	mmu-miR-6994-5p	-	1
miRBase	mmu-miR-190a-5p	-	81
miRBase	mmu-miR-7052-3p	-	40
miRBase	mmu-miR-7649-3p	-	1
miRBase	mmu-miR-8114	-	121
miRBase	mmu-miR-8112	-	333
miRBase	mmu-miR-6986-5p	-	1
miRBase	mmu-miR-8111	-	23
miRBase	mmu-miR-8118	-	2
miRBase	mmu-miR-8116	-	14
miRBase	mmu-miR-6930-5p	-	1
miRBase	mmu-miR-340-5p	-	2276
miRBase	mmu-miR-140-3p	-	3079
miRBase	mmu-mir-1247	-	3
miRBase	mmu-miR-1969	-	2
miRBase	mmu-miR-1191a	-	10
miRBase	mmu-miR-1960	-	3
miRBase	mmu-miR-1961	-	11
miRBase	mmu-miR-872-5p	-	1491
miRBase	mmu-miR-376b-3p	-	1
miRBase	mmu-miR-152-3p	-	4551
miRBase	mmu-miR-22-5p	-	134
miRBase	mmu-miR-7682-3p	-	2
miRBase	mmu-mir-450a-2	-	2
miRBase	mmu-mir-450a-1	-	2
miRBase	mmu-miR-139-5p	-	203
miRBase	mmu-mir-6946	-	1
miRBase	mmu-miR-409-3p	-	25
miRBase	mmu-mir-5619	-	1
miRBase	mmu-miR-701-5p	-	2
miRBase	mmu-miR-26b-3p	-	261
miRBase	mmu-miR-1298-5p	-	656
miRBase	mmu-miR-701-3p	-	2
miRBase	mmu-miR-1930-5p	-	1
miRBase	mmu-mir-1264	-	21
miRBase	mmu-mir-5627	-	3
miRBase	mmu-miR-7670-3p	-	1
miRBase	mmu-miR-140-5p	-	541
miRBase	mmu-mir-5625	-	1
miRBase	mmu-mir-6954	-	1
miRBase	mmu-miR-106a-5p	-	16
miRBase	mmu-miR-7019-3p	-	16
miRBase	mmu-mir-125a	-	40
miRBase	mmu-miR-339-5p	-	782
miRBase	mmu-miR-152-5p	-	699
miRBase	mmu-mir-6962	-	1
miRBase	mmu-mir-22	-	31
miRBase	mmu-mir-6963	-	3
miRBase	mmu-mir-6960	-	2
miRBase	mmu-let-7f-5p	-	329137
miRBase	mmu-miR-10b-5p	-	63046
miRBase	mmu-mir-6968	-	1
miRBase	mmu-mir-25	-	7
miRBase	mmu-miR-6929-3p	-	1
miRBase	mmu-miR-410-3p	-	78
miRBase	mmu-mir-126a	-	4156
miRBase	mmu-miR-26b-5p	-	88487
miRBase	mmu-miR-409-5p	-	7
miRBase	mmu-mir-32	-	13
miRBase	mmu-miR-384-3p	-	1
miRBase	mmu-mir-31	-	23
miRBase	mmu-mir-2139	-	1
miRBase	mmu-miR-7240-5p	-	1
miRBase	mmu-miR-3066-5p	-	3
miRBase	mmu-miR-339-3p	-	268
miRBase	mmu-mir-125b-1	-	76
miRBase	mmu-miR-7044-3p	-	22
miRBase	mmu-mir-6985	-	8
miRBase	mmu-mir-30c-1	-	716
miRBase	mmu-mir-125b-2	-	868
miRBase	mmu-miR-129-1-3p	-	1
miRBase	mmu-mir-30c-2	-	715
miRBase	mmu-miR-324-5p	-	395
miRBase	mmu-miR-221-5p	-	2604
miRBase	mmu-miR-5709-5p	-	18
miRBase	mmu-mir-6986	-	3
miRBase	mmu-miR-187-5p	-	80
miRBase	mmu-miR-133b-3p	-	28
miRBase	mmu-miR-196a-5p	-	1
miRBase	mmu-mir-6516	-	16
miRBase	mmu-miR-6945-3p	-	2
miRBase	mmu-mir-6998	-	1
miRBase	mmu-miR-7032-3p	-	1
miRBase	mmu-miR-1933-3p	-	5
miRBase	mmu-miR-22-3p	-	220102
miRBase	mmu-miR-5133	-	1
miRBase	mmu-miR-6933-5p	-	5
miRBase	mmu-miR-324-3p	-	42
miRBase	mmu-miR-148b-3p	-	10749
miRBase	mmu-miR-6989-5p	-	2
miRBase	mmu-miR-187-3p	-	279
miRBase	mmu-miR-181a-5p	-	683602
miRBase	mmu-miR-374b-5p	-	1281
miRBase	mmu-miR-5121	-	668
miRBase	mmu-miR-5122	-	8
miRBase	mmu-miR-5126	-	2
miRBase	mmu-miR-5123	-	4
miRBase	mmu-let-7c-2-3p	-	379
miRBase	mmu-miR-541-5p	-	1765
miRBase	mmu-mir-301a	-	7
miRBase	mmu-miR-5128	-	1
miRBase	mmu-miR-148b-5p	-	443
miRBase	mmu-miR-6989-3p	-	13
miRBase	mmu-mir-6541	-	2
miRBase	mmu-miR-1839-3p	-	137
miRBase	mmu-miR-7068-5p	-	8
miRBase	mmu-miR-143-3p	-	1404136
miRBase	mmu-miR-6977-5p	-	1
miRBase	mmu-miR-200b-3p	-	9219
miRBase	mmu-let-7f-2	-	2679
miRBase	mmu-miR-7068-3p	-	165
miRBase	mmu-let-7i-5p	-	117206
miRBase	mmu-let-7f-1	-	32
miRBase	mmu-miR-381-3p	-	109
miRBase	mmu-miR-3102-5p.2-5p	-	9
miRBase	mmu-miR-486b-5p	-	507327
miRBase	mmu-miR-3058-5p	-	3
miRBase	mmu-miR-429-3p	-	4465
miRBase	mmu-miR-666-5p	-	7
miRBase	mmu-mir-3057	-	3
miRBase	mmu-miR-1839-5p	-	2305
miRBase	mmu-miR-7000-3p	-	1
miRBase	mmu-miR-6977-3p	-	1
miRBase	mmu-miR-143-5p	-	442
miRBase	mmu-miR-6921-3p	-	4
miRBase	mmu-mir-219c	-	3
miRBase	mmu-miR-221-3p	-	6994
miRBase	mmu-miR-200b-5p	-	149
miRBase	mmu-mir-3060	-	30
miRBase	mmu-miR-155-3p	-	3
miRBase	mmu-mir-3066	-	6
miRBase	mmu-mir-3068	-	59
miRBase	mmu-let-7i-3p	-	71
miRBase	mmu-mir-3064	-	3
miRBase	mmu-miR-3058-3p	-	4
miRBase	mmu-miR-486b-3p	-	14
miRBase	mmu-miR-30c-2-3p	-	1127
miRBase	mmu-miR-429-5p	-	2
miRBase	mmu-miR-425-3p	-	421
miRBase	mmu-mir-3079	-	1
miRBase	mmu-miR-7689-3p	-	3
miRBase	mmu-miR-15a-5p	-	2436
miRBase	mmu-miR-6913-3p	-	4
miRBase	mmu-miR-7012-3p	-	3
miRBase	mmu-miR-5129-3p	-	14
miRBase	mmu-mir-3081	-	2
miRBase	mmu-mir-3082	-	12
miRBase	mmu-mir-3083	-	3
miRBase	mmu-miR-1187	-	1
miRBase	mmu-miR-7677-3p	-	2
miRBase	mmu-miR-155-5p	-	616
miRBase	mmu-miR-6901-5p	-	9
miRBase	mmu-miR-6540-5p	-	22
miRBase	mmu-miR-17-5p	-	706
miRBase	mmu-mir-3091	-	1
miRBase	mmu-miR-425-5p	-	6635
miRBase	mmu-miR-669l-5p	-	11
miRBase	mmu-miR-466q	-	2
miRBase	mmu-miR-466g	-	10
miRBase	mmu-miR-7024-5p	-	1
miRBase	mmu-let-7b-5p	-	54569
miRBase	mmu-miR-101b-5p	-	1
miRBase	mmu-miR-15a-3p	-	181
miRBase	mmu-miR-103-3p	-	13627
miRBase	mmu-miR-181b-1-3p	-	93
miRBase	mmu-let-7a-1-3p	-	379
miRBase	mmu-miR-671-5p	-	129
miRBase	mmu-miR-484	-	6087
miRBase	mmu-miR-5129-5p	-	5
miRBase	mmu-miR-295-3p	-	7
miRBase	mmu-miR-467a-3p	-	9
miRBase	mmu-miR-5114	-	58
miRBase	mmu-miR-5113	-	3
miRBase	mmu-miR-1249-3p	-	642
miRBase	mmu-miR-7653-3p	-	4
miRBase	mmu-miR-192-5p	-	13821
miRBase	mmu-miR-29a-3p	-	29650
miRBase	mmu-let-7b-3p	-	826
miRBase	mmu-miR-5116	-	1
miRBase	mmu-miR-101b-3p	-	662
miRBase	mmu-miR-5100	-	63
miRBase	mmu-miR-879-3p	-	27
miRBase	mmu-miR-5103	-	4
miRBase	mmu-miR-6990-3p	-	1
miRBase	mmu-miR-6957-5p	-	2
miRBase	mmu-miR-671-3p	-	777
miRBase	mmu-miR-5101	-	3
miRBase	mmu-miR-344-3p	-	27
miRBase	mmu-miR-1982-5p	-	1
miRBase	mmu-mir-7001	-	1
miRBase	mmu-miR-467a-5p	-	36
miRBase	mmu-mir-7010	-	3
miRBase	mmu-miR-5621-3p	-	3
miRBase	mmu-mir-7017	-	1
miRBase	mmu-miR-494-3p	-	3
miRBase	mmu-mir-7015	-	1
miRBase	mmu-miR-192-3p	-	2
miRBase	mmu-miR-3083-5p	-	2
miRBase	mmu-miR-1188-5p	-	1
miRBase	mmu-mir-7012	-	1
miRBase	mmu-miR-29a-5p	-	64
miRBase	mmu-miR-6990-5p	-	1
miRBase	mmu-miR-3095-3p	-	3
miRBase	mmu-miR-879-5p	-	705
miRBase	mmu-miR-1982-3p	-	18
miRBase	mmu-miR-96-3p	-	2
miRBase	mmu-mir-7021	-	2
miRBase	mmu-miR-300-3p	-	114
miRBase	mmu-mir-7026	-	1
miRBase	mmu-mir-7022	-	2
miRBase	mmu-miR-6901-3p	-	2
miRBase	mmu-miR-7048-3p	-	6
miRBase	mmu-miR-103-2-5p	-	7
miRBase	mmu-miR-7093-3p	-	4
miRBase	mmu-miR-7235-3p	-	18
miRBase	mmu-miR-17-3p	-	177
miRBase	mmu-mir-8120	-	1
miRBase	mmu-mir-195a	-	81
miRBase	mmu-miR-7038-3p	-	1
miRBase	mmu-miR-6985-3p	-	24
miRBase	mmu-miR-5132-3p	-	2
miRBase	mmu-miR-7026-5p	-	1
miRBase	mmu-miR-219c-5p	-	2
miRBase	mmu-mir-5099	-	1857
miRBase	mmu-miR-674-5p	-	278
miRBase	mmu-mir-744	-	3
miRBase	mmu-miR-7668-5p	-	10
miRBase	mmu-miR-96-5p	-	1237
miRBase	mmu-miR-365-3p	-	1593
miRBase	mmu-miR-8094	-	4
miRBase	mmu-miR-8097	-	2
miRBase	mmu-mir-1983	-	52
miRBase	mmu-mir-1982	-	1
miRBase	mmu-mir-1981	-	5
miRBase	mmu-miR-411-3p	-	6
miRBase	mmu-miR-145b	-	4
miRBase	mmu-miR-423-3p	-	5999
miRBase	mmu-miR-92b-3p	-	41113
miRBase	mmu-miR-1948-5p	-	1
miRBase	mmu-miR-219c-3p	-	2
miRBase	mmu-mir-760	-	2
miRBase	mmu-miR-8090	-	2
