DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Lung_M1_*	Lung_F1_*	Lung_F2_*	Lung_M2_*	Lung_F3_*	Lung_M3_*
161	28147	9382	10409	23001	29491	9113
162	28147	9382	10409	23038	30551	9152
163	28147	9480	10452	23376	30570	9358
164	29180	9697	10820	24255	32070	9460
165	29231	9925	10958	25268	33344	9460
166	32657	9925	11722	25883	33789	9756
167	32657	9966	11722	27319	33789	10006
168	34256	10482	11863	27319	33891	10006
169	35341	10507	13441	27319	34454	10006
170	35675	11066	13869	27998	35293	10249
171	35693	11066	13869	28393	36003	10930
172	36845	11066	14007	30205	36003	10964
173	38258	11244	14043	30205	37717	10964
174	38394	11316	14390	30205	38065	10964
175	38557	12194	15796	30809	38515	11338
176	38561	12423	16459	32849	38987	11919
177	41040	12509	17196	33077	39361	12163
178	44581	12509	17196	34167	39394	12544
179	44634	13389	17572	34968	39561	12834
180	49310	13417	17572	36164	39772	12834
181	49310	13631	18001	36681	39827	13084
182	49724	14149	18147	36942	41418	13612
183	50052	14774	18541	37662	42578	15339
184	50056	14774	18614	39967	42578	15681
185	50203	14912	19225	41524	42578	15702
186	52270	15262	20949	42801	42736	15850
187	52738	15262	22909	42801	42736	16063
188	53606	15266	23112	43380	43347	16560
189	54990	15572	23628	46722	43347	17091
190	54990	15752	25069	46745	46582	18747
191	54990	16014	25542	46745	47385	19428
192	54990	17502	26532	47467	47807	20066
193	54990	17895	26608	47467	48182	20168
194	54990	18248	27167	48509	48182	20210
195	54990	19390	27496	48509	49766	20901
196	54990	19684	29541	52620	49808	21697
197	54990	20534	29694	52805	49808	21697
198	54990	20786	30019	58761	49928	22066
199	54990	21480	30894	61134	51585	22434
200	54990	21886	32038	63735	52097	23408
201	54990	22742	32549	68383	56017	23408
202	54990	22742	32750	68470	58481	26107
203	54990	22742	34687	68928	59422	26761
204	54990	22847	34953	75475	62236	27964
205	56244	23484	35307	81030	62524	28738
206	56339	27787	35513	83515	62524	28965
207	56770	28116	35874	85988	62627	29237
208	56770	29481	37121	85988	63915	29293
209	56770	31198	37725	88405	64970	29396
210	57949	32205	37798	88561	65416	30411
211	57949	34926	37914	91210	72068	30558
212	60208	35485	37946	91270	74614	31820
213	63051	36566	37946	98902	74633	33076
214	63555	37381	39767	104639	77274	33144
215	66888	39030	39767	110725	77274	34858
216	72412	39751	39767	113569	77607	35769
217	72517	40032	42521	115649	79090	36355
218	72949	42242	43197	116185	81137	36884
219	73237	44166	43524	119369	81377	37031
220	73794	47722	44731	122223	83699	38744
221	74707	47919	46533	131027	85270	39416
222	77662	48895	46894	131540	87736	40658
223	78225	51038	48452	131603	93180	40658
224	79183	54980	49472	137028	102348	41470
225	82508	55430	49733	137488	103075	42497
226	82883	58178	52267	137685	103579	42913
227	83705	60644	53017	142409	105956	43063
228	88006	62168	53741	143127	109214	44959
229	88006	62788	54869	144552	109972	44981
230	89262	64091	55170	145044	110825	44981
231	89262	64472	55549	146591	112237	44994
232	91320	64977	56732	152822	117607	47139
233	91320	67555	58887	153268	117882	47501
234	95296	68153	58887	154466	123167	50343
235	96543	68207	59121	154466	131135	51307
236	96711	68207	59121	154466	132699	52767
237	97180	69835	64229	154466	132699	54396
238	99163	69835	66636	157668	141756	54549
239	99278	71514	67005	161277	144959	55419
240	99838	72225	67698	162173	150890	56924
241	101444	72696	67698	164332	152654	57726
242	110112	75601	67698	166658	177036	60174
243	111007	76094	67698	166658	182058	60399
244	111071	79074	75594	170076	182843	60804
245	111071	79407	76462	170076	182843	61688
246	111709	81213	76685	170076	193176	64031
247	114169	81250	76685	173272	193176	65314
248	116099	81250	78278	181157	194462	65972
249	119475	81250	79490	181846	195962	66419
250	119475	83809	82573	182790	203247	66419
251	120203	85927	83113	183463	203247	68878
252	122528	87492	83924	188524	207456	69288
253	126433	88716	88003	188524	214367	71741
254	126433	88716	89349	188524	231500	72200
255	129509	89785	92996	188524	236820	72322
256	142874	93470	96018	188524	249945	74546
257	142874	94509	97059	188524	257163	75071
258	143200	95133	102834	188524	259604	75071
259	143200	98018	103297	188524	261026	78727
260	143788	98942	105908	188524	270979	79642
261	150206	100597	111807	188524	273443	80756
262	152007	104171	119418	188524	274455	80756
263	152940	105321	121892	188524	277980	80874
264	156578	108144	121892	188524	283467	83209
265	160126	109134	125875	188524	283467	86548
266	163681	121557	132507	192911	283467	88551
267	165767	123580	132507	193717	283467	89175
268	170181	131391	138448	193717	283467	89223
269	178712	131489	144567	193717	283467	95041
270	178712	134521	146607	193717	283467	95041
271	180417	135576	147654	193717	283467	96746
272	181343	142628	147654	193717	283467	98062
273	186335	143016	149395	193717	283467	99183
274	187395	145196	149557	193717	283467	99183
275	188009	145916	152545	193717	283467	99183
276	191334	151693	152545	193717	283467	99183
277	191433	154209	152545	193717	283467	99183
278	193824	161316	152545	193717	288061	99183
279	194273	163791	152545	193717	295901	99183
280	202374	170702	152545	193717	298828	99183
281	202556	171869	152545	193717	302863	99183
282	215575	182287	152545	193717	310923	99183
283	224534	193692	152545	195763	327652	99183
284	227628	203545	152545	196148	332162	99183
285	230889	204532	152545	197642	335332	99183
286	247681	205762	152545	197642	348124	99183
287	251929	205762	152545	199992	363535	99183
288	254828	209330	152545	204286	380857	102133
289	254828	209383	157324	205165	388694	104920
290	259168	210953	161490	206872	397080	105184
291	271128	213000	161490	221146	398979	105610
292	277172	213570	179148	221146	408174	105737
293	280967	220371	184497	229576	409502	107686
294	286289	222635	184949	242007	409690	109668
295	286289	222999	188594	244575	415187	112908
296	297730	222999	196348	247898	448444	114536
297	299026	224208	198001	256994	448444	114536
298	303101	229640	202857	260359	448444	119468
299	335960	233689	210266	260617	451009	119878
300	349758	241240	211014	260617	452442	125165
301	353074	249485	217840	261692	452442	127605
302	354187	252068	219920	262290	457278	128344
303	361808	261770	220125	266543	466594	130294
304	365368	267102	221015	267896	480996	130668
305	370162	282388	225201	270016	481991	134606
306	371121	285274	225321	274083	482682	142364
307	372739	287204	226779	278352	491496	142564
308	374023	289579	229926	278352	494228	142827
309	375668	297232	230819	287669	494228	144011
310	382136	301973	233366	304510	494228	145982
311	396395	307364	248310	315830	494228	146020
312	406210	312093	251385	317457	494228	146724
313	406748	313164	252616	332001	501545	153244
314	409705	316611	253644	338947	501545	153769
315	446098	317626	253644	346032	511167	154932
316	460276	318981	253644	346032	522159	161944
317	467456	321422	271705	346032	538757	167568
318	473074	322711	283366	346032	541321	172525
319	477330	333593	287368	346032	579166	178958
320	477431	373780	287672	346370	583396	178958
