DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Lung_M1_*	Lung_F1_*	Lung_F2_*	Lung_M2_*	Lung_F3_*	Lung_M3_*
459	2739058	1220777	1413694	2431782	4094175	816717
460	2779488	1220777	1413694	2524279	4146863	835297
461	2802926	1220777	1413694	2605024	4230518	836656
462	2819206	1220777	1461252	2630602	4233293	849930
463	2826055	1221193	1472176	2634186	4280913	874260
464	2879808	1263156	1476933	2644853	4506944	901088
465	2918517	1263156	1490502	2650473	4506944	901088
466	3008598	1304325	1547531	2661468	4557219	905439
467	3030448	1306990	1554417	2661468	4682701	906215
468	3030448	1322681	1630199	2941207	4725766	919032
469	3033135	1339958	1630199	2973805	4918204	936515
470	3057012	1368670	1630199	2973805	4952560	936515
471	3117621	1400927	1654763	2973805	4952560	936515
472	3194612	1404293	1658953	3018377	4952560	938990
473	3214289	1437038	1659301	3022026	5011552	1008162
474	3238265	1485692	1700371	3031596	5071506	1008205
475	3263564	1495713	1701671	3060177	5115870	1028581
476	3300903	1519756	1713509	3065336	5121137	1031759
477	3309975	1519756	1731197	3126779	5191270	1034126
478	3314155	1556986	1760320	3134661	5207262	1043745
479	3314155	1556986	1779854	3195111	5280650	1045035
480	3314155	1556986	1815830	3238593	5305176	1052221
481	3339721	1556986	1817775	3289768	5315520	1053204
482	3343859	1595398	1830692	3303620	5362902	1053204
483	3359430	1628187	1855554	3340099	5741835	1063348
484	3364431	1665357	1870035	3358074	5741835	1064258
485	3364431	1701010	1879745	3393872	5795929	1089674
486	3389082	1701178	1934456	3398252	5854014	1113955
487	3453119	1731297	1934456	3412882	5854014	1120819
488	3459114	1782934	1934456	3424719	5872534	1145113
489	3556964	1791496	1948976	3439932	5968150	1196054
490	3562333	1864171	1960837	3439932	6295502	1236028
491	3585230	1864171	1981641	3465619	6333237	1236028
492	3586190	1871818	2035054	3503439	6395702	1236028
493	3592493	1896936	2038993	3504844	6479842	1236028
494	3625133	1907595	2052594	3523216	6573563	1236028
495	3625133	1989151	2053187	3643166	6693455	1272411
496	3625133	1996127	2055460	3643166	6841973	1288545
497	3639892	2017899	2062262	3705739	6913000	1290428
498	3665105	2034876	2093329	3716388	6934822	1294377
499	3782147	2063922	2095802	3741621	6934822	1301312
500	3827541	2082662	2185515	3769373	6934822	1316759
501	3839483	2087765	2228664	3793305	6934822	1372696
502	3880797	2109923	2253653	3921652	6934822	1382531
503	3907879	2145804	2286610	3992906	6994064	1408602
504	3912480	2145804	2301565	4053282	7174094	1408602
505	3948944	2145804	2328762	4058017	7499560	1466274
506	3948944	2155464	2334347	4073494	7576146	1543785
507	3948944	2175997	2367345	4073494	7648588	1561399
508	3948944	2207606	2384452	4107609	7661433	1562228
509	3948944	2234366	2388399	4202351	7804834	1571748
510	3948944	2253476	2421916	4228268	7834031	1613742
511	3948944	2270139	2465628	4314879	7839832	1616487
512	3948944	2315611	2479182	4463288	7875843	1665959
513	3948944	2316074	2479182	4546789	7878954	1710337
514	3948944	2442969	2501016	4571403	7899049	1723250
515	3948944	2446674	2505132	4571403	7952988	1735912
516	3948944	2541250	2510912	4610614	7996653	1753453
517	3954527	2543979	2547130	4635232	8012631	1777725
518	3987161	2546479	2584090	4661013	8032439	1780294
519	4003464	2547800	2586889	4683265	8079779	1781637
520	4298491	2560841	2616523	4725736	8103500	1807436
521	4323087	2599640	2688596	4755055	8223601	1812166
522	4343897	2618994	2702175	4896515	8262873	1886060
523	4343897	2626478	2803393	4930488	8268221	1893537
524	4407169	2654554	2827957	5011852	8313868	1916071
525	4441057	2694258	2827957	5176842	8463912	1943419
526	4459059	2700550	2898905	5189011	8481456	1954873
527	4533081	2710100	2942425	5243997	8639158	2031807
528	4533081	2809361	2961869	5286619	8715808	2031807
529	4555300	2821513	2992784	5339984	8759314	2079923
530	4555300	2851047	2998862	5339984	8777006	2086371
