ID	Lung_F1	Lung_F2	Lung_F3	Lung_M1	Lung_M2	Lung_M3	
mmu-miR-3112-5p	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-miR-5624-3p	0.0	0.0	0.0	0.0	0.0	2.0	
mmu-miR-491-5p	6.0	7.0	2.0	7.0	10.0	20.0	
mmu-mir-199a-2	6075.0	4451.0	1960.0	4249.0	4936.0	5499.0	
mmu-miR-3086-3p	2.0	0.0	0.0	1.0	2.0	1.0	
mmu-mir-199a-1	6064.0	4440.0	1956.0	4239.0	4934.0	5491.0	
mmu-miR-496a-3p	6.0	7.0	2.0	0.0	0.0	2.0	
mmu-mir-452	21.0	19.0	7.0	13.0	16.0	21.0	
mmu-mir-455	33.0	18.0	16.0	29.0	30.0	38.0	
mmu-miR-127-3p	4406.0	4434.0	1217.0	3497.0	3045.0	4976.0	
mmu-mir-1a-2	11.0	62.0	22.0	91.0	13.0	228.0	
mmu-miR-19b-3p	3971.0	4386.0	1461.0	1436.0	1664.0	2206.0	
mmu-mir-1a-1	11.0	62.0	22.0	89.0	13.0	227.0	
mmu-miR-669a-3p	42.0	35.0	18.0	44.0	53.0	68.0	
mmu-miR-3091-5p	0.0	1.0	0.0	1.0	0.0	0.0	
mmu-mir-6900	0.0	1.0	0.0	0.0	0.0	0.0	
mmu-mir-6901	3.0	0.0	0.0	1.0	4.0	3.0	
mmu-miR-6994-3p	3.0	0.0	0.0	0.0	1.0	1.0	
mmu-mir-7b	1.0	0.0	0.0	0.0	0.0	0.0	
mmu-mir-6906	0.0	1.0	0.0	0.0	0.0	0.0	
mmu-miR-190a-3p	10.0	16.0	3.0	7.0	12.0	4.0	
mmu-miR-504-5p	0.0	1.0	1.0	1.0	1.0	2.0	
mmu-mir-98	5.0	6.0	5.0	1.0	6.0	1.0	
mmu-miR-3475-3p	1.0	1.0	1.0	0.0	3.0	2.0	
mmu-miR-340-3p	105.0	87.0	43.0	271.0	310.0	367.0	
mmu-miR-770-3p	0.0	0.0	0.0	0.0	1.0	1.0	
mmu-mir-93	24.0	18.0	10.0	22.0	28.0	33.0	
mmu-mir-6916	0.0	0.0	0.0	0.0	2.0	1.0	
mmu-mir-6914	0.0	0.0	1.0	0.0	0.0	0.0	
mmu-mir-6911	0.0	1.0	0.0	0.0	1.0	0.0	
mmu-miR-7036b-3p	0.0	0.0	0.0	0.0	0.0	1.0	
mmu-miR-7a-5p	1255.0	953.0	865.0	1113.0	1120.0	1643.0	
mmu-miR-1983	7.0	4.0	1.0	0.0	7.0	5.0	
mmu-miR-376b-5p	37.0	42.0	17.0	76.0	80.0	76.0	
mmu-miR-201-5p	10.0	7.0	1.0	3.0	5.0	6.0	
mmu-mir-6917	0.0	0.0	0.0	0.0	1.0	1.0	
mmu-miR-872-3p	786.0	759.0	282.0	1060.0	794.0	1179.0	
mmu-miR-5099	5215.0	5062.0	2245.0	1813.0	2347.0	3791.0	
mmu-miR-7682-5p	0.0	0.0	0.0	0.0	1.0	0.0	
mmu-miR-127-5p	8.0	15.0	9.0	10.0	3.0	13.0	
mmu-mir-490	41.0	47.0	14.0	43.0	30.0	66.0	
mmu-miR-195b	2.0	2.0	0.0	2.0	2.0	7.0	
mmu-miR-135b-5p	6.0	4.0	3.0	2.0	5.0	8.0	
mmu-miR-8120	0.0	1.0	1.0	1.0	3.0	2.0	
mmu-mir-491	0.0	1.0	0.0	1.0	0.0	0.0	
mmu-miR-7040-5p	0.0	0.0	0.0	1.0	1.0	0.0	
mmu-miR-1929-5p	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-mir-1231	0.0	0.0	0.0	1.0	2.0	1.0	
mmu-miR-24-2-5p	4852.0	4098.0	1943.0	11215.0	13069.0	14613.0	
mmu-miR-7007-3p	0.0	1.0	0.0	0.0	1.0	3.0	
mmu-miR-139-3p	11.0	5.0	2.0	61.0	44.0	85.0	
mmu-mir-483	2.0	1.0	2.0	0.0	0.0	1.0	
mmu-miR-3091-3p	4.0	1.0	0.0	1.0	2.0	3.0	
mmu-mir-484	68.0	37.0	13.0	22.0	20.0	32.0	
mmu-mir-6927	0.0	0.0	0.0	1.0	0.0	1.0	
mmu-mir-485	14.0	3.0	2.0	6.0	5.0	7.0	
mmu-mir-6925	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-mir-6922	0.0	0.0	0.0	4.0	0.0	0.0	
mmu-miR-7219-3p	9.0	4.0	2.0	6.0	9.0	16.0	
mmu-mir-489	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-miR-1970	0.0	0.0	0.0	0.0	0.0	3.0	
mmu-miR-6994-5p	0.0	0.0	0.0	0.0	1.0	0.0	
mmu-miR-190a-5p	156.0	186.0	94.0	63.0	81.0	98.0	
mmu-miR-7052-3p	21.0	18.0	10.0	52.0	40.0	63.0	
mmu-miR-7649-3p	0.0	4.0	0.0	1.0	1.0	4.0	
mmu-miR-8114	84.0	62.0	31.0	130.0	121.0	137.0	
mmu-miR-8112	108.0	59.0	36.0	428.0	333.0	410.0	
mmu-miR-6986-5p	0.0	2.0	1.0	4.0	1.0	2.0	
mmu-miR-8111	9.0	5.0	1.0	18.0	23.0	18.0	
mmu-miR-770-5p	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-miR-8118	2.0	0.0	1.0	1.0	2.0	2.0	
mmu-miR-8116	1.0	0.0	0.0	9.0	14.0	3.0	
mmu-miR-1930-3p	0.0	1.0	0.0	0.0	0.0	1.0	
mmu-miR-6930-5p	0.0	1.0	0.0	0.0	1.0	0.0	
mmu-miR-340-5p	3231.0	3682.0	1846.0	2133.0	2276.0	3231.0	
mmu-miR-140-3p	1897.0	3630.0	3298.0	2887.0	3079.0	4342.0	
mmu-mir-1247	2.0	2.0	0.0	5.0	3.0	2.0	
mmu-miR-1969	0.0	0.0	0.0	1.0	2.0	1.0	
mmu-mir-6933	0.0	2.0	0.0	0.0	0.0	1.0	
mmu-miR-7036b-5p	0.0	2.0	1.0	0.0	0.0	1.0	
mmu-mir-1249	2.0	2.0	0.0	3.0	0.0	0.0	
mmu-mir-6931	0.0	1.0	0.0	0.0	0.0	0.0	
mmu-miR-1191a	13.0	9.0	5.0	6.0	10.0	16.0	
mmu-mir-6932	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-miR-1960	1.0	1.0	2.0	5.0	3.0	6.0	
mmu-miR-1961	13.0	9.0	7.0	14.0	11.0	13.0	
mmu-miR-872-5p	872.0	740.0	261.0	1353.0	1491.0	1967.0	
mmu-miR-376b-3p	9.0	4.0	2.0	7.0	1.0	6.0	
mmu-miR-152-3p	3361.0	2798.0	1512.0	3931.0	4551.0	5627.0	
mmu-miR-22-5p	118.0	122.0	41.0	82.0	134.0	125.0	
mmu-miR-7682-3p	0.0	0.0	0.0	0.0	2.0	0.0	
mmu-mir-450a-2	4.0	1.0	0.0	0.0	2.0	0.0	
mmu-mir-450a-1	5.0	3.0	1.0	0.0	2.0	0.0	
mmu-mir-6948	1.0	0.0	0.0	1.0	0.0	0.0	
mmu-miR-139-5p	99.0	119.0	25.0	145.0	203.0	232.0	
mmu-mir-6946	2.0	0.0	0.0	1.0	1.0	2.0	
mmu-mir-6947	1.0	0.0	0.0	0.0	0.0	0.0	
mmu-mir-6944	0.0	1.0	0.0	0.0	0.0	0.0	
mmu-miR-409-3p	47.0	61.0	23.0	24.0	25.0	44.0	
mmu-miR-701-5p	1.0	1.0	0.0	1.0	2.0	1.0	
mmu-mir-5619	0.0	0.0	0.0	1.0	1.0	2.0	
mmu-miR-26b-3p	60.0	45.0	20.0	194.0	261.0	244.0	
mmu-miR-6986-3p	1.0	0.0	0.0	0.0	0.0	0.0	
mmu-miR-1298-5p	1451.0	1007.0	564.0	716.0	656.0	910.0	
mmu-miR-701-3p	1.0	1.0	1.0	3.0	2.0	1.0	
mmu-miR-1930-5p	0.0	0.0	0.0	0.0	1.0	2.0	
mmu-miR-384-5p	1.0	1.0	0.0	4.0	0.0	2.0	
mmu-miR-299b-3p	0.0	1.0	0.0	0.0	0.0	0.0	
mmu-mir-6951	0.0	0.0	1.0	0.0	0.0	1.0	
mmu-mir-6952	2.0	0.0	0.0	1.0	0.0	0.0	
mmu-mir-5621	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-mir-1264	22.0	12.0	4.0	12.0	21.0	29.0	
mmu-miR-7669-5p	2.0	1.0	0.0	3.0	0.0	1.0	
mmu-mir-5627	0.0	1.0	0.0	0.0	3.0	0.0	
mmu-mir-6959	0.0	6.0	0.0	0.0	0.0	0.0	
mmu-miR-7670-3p	0.0	1.0	1.0	3.0	1.0	0.0	
mmu-mir-6955	0.0	1.0	0.0	0.0	0.0	0.0	
mmu-miR-140-5p	692.0	821.0	216.0	589.0	541.0	860.0	
mmu-mir-5625	0.0	0.0	0.0	1.0	1.0	1.0	
mmu-mir-5624	0.0	0.0	2.0	0.0	0.0	0.0	
mmu-mir-6954	0.0	0.0	0.0	0.0	1.0	0.0	
mmu-miR-106a-5p	11.0	7.0	1.0	10.0	16.0	10.0	
mmu-miR-7019-3p	2.0	7.0	1.0	9.0	16.0	18.0	
mmu-miR-6905-5p	0.0	0.0	0.0	0.0	0.0	1.0	
mmu-mir-125a	18.0	30.0	8.0	55.0	40.0	62.0	
mmu-miR-344d-3-5p	0.0	0.0	0.0	2.0	0.0	0.0	
mmu-miR-339-5p	441.0	436.0	162.0	729.0	782.0	1007.0	
mmu-miR-152-5p	1400.0	1574.0	1022.0	619.0	699.0	724.0	
mmu-mir-6962	0.0	0.0	0.0	0.0	1.0	0.0	
mmu-mir-22	18.0	27.0	11.0	29.0	31.0	31.0	
mmu-mir-6963	0.0	1.0	0.0	3.0	3.0	3.0	
mmu-mir-6960	1.0	1.0	0.0	3.0	2.0	4.0	
mmu-let-7f-5p	156590.0	107515.0	112563.0	234348.0	329137.0	320800.0	
mmu-mir-6961	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-miR-10b-5p	77207.0	157995.0	54718.0	70324.0	63046.0	104510.0	
mmu-mir-6968	0.0	0.0	0.0	0.0	1.0	0.0	
mmu-mir-25	1.0	2.0	0.0	3.0	7.0	1.0	
mmu-miR-344f-3p	0.0	0.0	0.0	0.0	0.0	1.0	
mmu-mir-135a-1	0.0	1.0	1.0	0.0	0.0	0.0	
mmu-miR-410-3p	55.0	144.0	55.0	71.0	78.0	107.0	
mmu-miR-6929-3p	0.0	0.0	0.0	0.0	1.0	1.0	
mmu-mir-126a	7236.0	4708.0	2071.0	3233.0	4156.0	4359.0	
mmu-miR-3073b-3p	0.0	1.0	0.0	1.0	0.0	0.0	
mmu-miR-26b-5p	102209.0	86715.0	46296.0	89790.0	88487.0	135381.0	
mmu-miR-409-5p	3.0	14.0	5.0	9.0	7.0	17.0	
mmu-mir-344i	0.0	0.0	0.0	0.0	0.0	2.0	
mmu-miR-7064-5p	0.0	0.0	0.0	0.0	0.0	1.0	
mmu-mir-32	11.0	3.0	4.0	6.0	13.0	16.0	
mmu-miR-7020-3p	1.0	0.0	0.0	0.0	0.0	0.0	
mmu-mir-33	0.0	0.0	0.0	0.0	0.0	2.0	
mmu-miR-299b-5p	1.0	5.0	1.0	0.0	0.0	0.0	
mmu-mir-6971	1.0	0.0	0.0	1.0	0.0	0.0	
mmu-miR-384-3p	0.0	2.0	0.0	0.0	1.0	1.0	
mmu-mir-31	13.0	18.0	5.0	17.0	23.0	12.0	
mmu-mir-2139	0.0	0.0	0.0	0.0	1.0	0.0	
mmu-miR-7240-5p	0.0	0.0	0.0	0.0	1.0	0.0	
mmu-miR-3066-5p	11.0	6.0	4.0	7.0	3.0	7.0	
mmu-mir-6977	0.0	1.0	0.0	0.0	0.0	0.0	
mmu-mir-6978	0.0	0.0	0.0	0.0	0.0	1.0	
mmu-mir-6975	2.0	0.0	0.0	0.0	0.0	0.0	
mmu-mir-6976	0.0	0.0	0.0	0.0	0.0	1.0	
mmu-miR-339-3p	149.0	201.0	87.0	278.0	268.0	383.0	
mmu-miR-7227-3p	0.0	0.0	2.0	0.0	0.0	0.0	
mmu-mir-125b-1	30.0	32.0	9.0	60.0	76.0	82.0	
mmu-miR-7044-3p	13.0	17.0	5.0	21.0	22.0	33.0	
mmu-mir-6985	1.0	4.0	0.0	5.0	8.0	5.0	
mmu-miR-3083-3p	0.0	1.0	0.0	1.0	0.0	0.0	
mmu-miR-6933-3p	0.0	0.0	0.0	0.0	0.0	1.0	
mmu-mir-30c-1	2386.0	1703.0	757.0	531.0	716.0	699.0	
mmu-mir-6983	1.0	0.0	0.0	0.0	0.0	0.0	
mmu-mir-1291	2.0	0.0	0.0	1.0	0.0	2.0	
mmu-mir-125b-2	418.0	819.0	388.0	818.0	868.0	997.0	
mmu-mir-1298	2.0	1.0	0.0	1.0	0.0	1.0	
mmu-miR-6481	3.0	0.0	0.0	0.0	0.0	0.0	
mmu-mir-30c-2	2392.0	1709.0	758.0	531.0	715.0	699.0	
mmu-miR-129-1-3p	0.0	3.0	0.0	0.0	1.0	1.0	
mmu-mir-6980	0.0	1.0	0.0	3.0	0.0	0.0	
mmu-miR-324-5p	396.0	367.0	201.0	301.0	395.0	454.0	
mmu-miR-221-5p	637.0	1196.0	738.0	2294.0	2604.0	2759.0	
mmu-miR-5709-5p	11.0	10.0	7.0	13.0	18.0	15.0	
mmu-mir-6986	0.0	0.0	0.0	2.0	3.0	1.0	
mmu-mir-6987	0.0	0.0	0.0	0.0	0.0	3.0	
mmu-miR-187-5p	19.0	20.0	13.0	63.0	80.0	66.0	
mmu-miR-133b-3p	35.0	166.0	20.0	100.0	28.0	276.0	
mmu-mir-6995	1.0	0.0	0.0	1.0	0.0	0.0	
mmu-mir-6996	1.0	0.0	0.0	0.0	0.0	2.0	
mmu-mir-6994	1.0	0.0	0.0	2.0	0.0	3.0	
mmu-mir-6991	0.0	0.0	0.0	0.0	0.0	2.0	
mmu-mir-6992	0.0	1.0	0.0	0.0	0.0	3.0	
mmu-mir-6990	0.0	2.0	0.0	0.0	0.0	0.0	
mmu-miR-196a-5p	0.0	0.0	2.0	1.0	1.0	1.0	
mmu-mir-6516	11.0	14.0	2.0	15.0	16.0	19.0	
mmu-miR-6945-3p	4.0	2.0	0.0	2.0	2.0	5.0	
mmu-mir-6997	0.0	0.0	1.0	0.0	0.0	0.0	
mmu-mir-6998	0.0	0.0	0.0	0.0	1.0	0.0	
mmu-miR-7032-3p	0.0	1.0	1.0	1.0	1.0	2.0	
mmu-miR-1933-3p	4.0	2.0	1.0	6.0	5.0	7.0	
mmu-miR-22-3p	91981.0	93122.0	36649.0	176228.0	220102.0	235284.0	
mmu-miR-5133	0.0	2.0	0.0	5.0	1.0	0.0	
mmu-miR-5130	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-miR-6933-5p	0.0	0.0	1.0	2.0	5.0	3.0	
mmu-miR-324-3p	35.0	40.0	18.0	27.0	42.0	32.0	
mmu-miR-148b-3p	8959.0	10536.0	4194.0	9442.0	10749.0	12945.0	
mmu-miR-6989-5p	0.0	0.0	0.0	0.0	2.0	0.0	
mmu-miR-187-3p	263.0	255.0	80.0	256.0	279.0	378.0	
mmu-miR-181a-5p	434922.0	271630.0	227290.0	587783.0	683602.0	750140.0	
mmu-miR-7685-5p	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-miR-374b-5p	1269.0	1164.0	290.0	967.0	1281.0	1303.0	
mmu-miR-5121	10.0	9.0	9.0	594.0	668.0	887.0	
mmu-miR-5122	6.0	2.0	0.0	9.0	8.0	5.0	
mmu-miR-5120	1.0	2.0	0.0	1.0	0.0	1.0	
mmu-miR-5125	0.0	0.0	1.0	0.0	0.0	0.0	
mmu-miR-5126	0.0	0.0	0.0	1.0	2.0	0.0	
mmu-miR-5123	0.0	1.0	0.0	1.0	4.0	2.0	
mmu-mir-6539	0.0	1.0	0.0	0.0	0.0	2.0	
mmu-let-7c-2-3p	953.0	886.0	339.0	196.0	379.0	287.0	
mmu-mir-6537	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-miR-541-5p	1895.0	2257.0	1212.0	1575.0	1765.0	2283.0	
mmu-mir-301a	14.0	16.0	2.0	9.0	7.0	18.0	
mmu-mir-301b	0.0	0.0	0.0	1.0	0.0	1.0	
mmu-miR-5128	1.0	0.0	0.0	4.0	1.0	0.0	
mmu-miR-7032-5p	0.0	0.0	0.0	1.0	0.0	0.0	
mmu-miR-148b-5p	308.0	249.0	158.0	371.0	443.0	489.0	
mmu-miR-6989-3p	8.0	3.0	6.0	24.0	13.0	29.0	
mmu-mir-6541	4.0	2.0	1.0	0.0	2.0	3.0	
mmu-miR-1839-3p	204.0	158.0	79.0	121.0	137.0	202.0	
mmu-miR-465c-5p	0.0	1.0	0.0	0.0	0.0	0.0	
mmu-miR-7673-3p	1.0	0.0	0.0	0.0	0.0	0.0	
