Lung_M2_*.hairpin	Lung_M3_*.hairpin	Lung_F1_*.hairpin	Lung_F2_*.hairpin	Lung_F3_*.hairpin	Lung_M1_*.hairpin
mmu-mir-3470b	1094.40567979887	1215.55929190171	1453.01918467976	2523.41687070561	1287.49108133587	581.857429413903
mmu-mir-92b	1098.5669181251	1009.15237410664	1993.82338899495	1192.19497073327	1230.22434040779	1308.84861536911
mmu-mir-23a	1459.76240484199	1232.13722308208	1266.05903051976	1113.15269410971	979.59813305199	1269.83771953341
mmu-mir-125b-1	1764.36505032213	1621.1348758497	642.440261274646	465.193477835911	512.032036533365	1812.35365229944
mmu-mir-92a-2	1374.87314298687	1456.2895319998	1085.05901550244	863.529061610785	582.099578374773	1586.55329758939
mmu-mir-5099	1283.88073158661	1594.04980518881	989.069406151835	979.124485921924	1024.06407306673	1211.65197659202
mmu-mir-449c	743.751996841766	1426.16906548898	363.882179237592	1480.87111144541	1034.84369488848	1212.31317821635
mmu-mir-181a-1	759.564702481446	739.002143463101	1542.10758028621	1382.7712108138	1447.83795593447	739.884617629724
mmu-mir-27a	1284.71297925185	1139.67439565352	778.268695421092	828.538014251737	707.412682052675	1247.02626349389
mmu-mir-10b	678.004431287309	762.584834297152	1076.27565255533	1794.54085741402	1426.95243865482	752.44744849207
mmu-mir-181a-2	753.461552936306	725.226116144199	1481.25142272406	1338.40756148357	1397.308478645	724.676980270043
mmu-mir-195a	955.420319702739	909.217803047493	1069.37443881117	947.57005928564	724.929567513027	906.17682614972
mmu-mir-101b	518.212879560022	543.569349125465	932.918621597068	1304.04135425594	1528.68511959764	538.548723020027
mmu-mir-378a	541.238398298503	740.636587382292	934.17338773237	936.635356985938	1067.85628671761	725.00758108221
mmu-mir-484	782.035389443095	796.20768063481	773.877013947535	571.103880110172	438.595862872659	867.165930314016
mmu-mir-203	631.121146145102	670.35549885705	1041.76958383452	638.274194236915	733.014283879343	668.474842201654
mmu-mir-125a	1149.05660981671	925.328750250954	283.263455044436	157.459713115715	245.236396444927	1192.8077302985
mmu-mir-100	880.518029830573	887.503048121089	442.30506269397	453.009095273386	312.609032830896	978.909004826458
mmu-mir-152	766.777515580247	803.445932276945	491.554633504575	383.651840686702	515.400668352663	819.559413361969
mmu-mir-6236	125.114565675359	67.0122006868594	1396.55470859117	850.094998785436	2380.27524351629	75.0463843619068
mmu-mir-5103	700.752534137375	797.37514057709	825.322425494918	173.39313646671	175.16885460352	689.633294180342
mmu-mir-30b	654.978912548829	628.793924911889	590.994849727262	514.868268283131	369.87577375897	718.064964026703
mmu-let-7g	768.442010910739	573.222831659372	609.502650222967	414.269007125868	669.010279312673	580.535026165235
mmu-mir-191	851.666777435368	628.326940934978	453.597957911688	374.591658781234	226.372058256856	735.256206259387
mmu-mir-150	633.06305736401	916.222562701171	312.750459224034	255.872033813036	140.808810046675	903.862620464552
mmu-mir-130a	668.294875192769	608.947105893133	557.429855607932	535.487992619712	216.266162798961	672.442051947658
mmu-mir-328	738.758510850288	722.190720294272	323.102279840276	247.43669203898	272.185450999315	766.663283415251
mmu-mir-101c	290.177019282539	394.601460490566	442.932445761621	883.211525750249	911.551770302161	350.43686089701
mmu-mir-542	332.066818433269	334.127035480473	662.830210973304	659.831178770614	927.721203034794	328.286606481821
mmu-mir-320	476.877912186123	462.547629131249	513.826732406186	348.97321339336	563.908966550561	450.939507795775
mmu-mir-222	527.922435654562	393.20050855983	511.630891669408	349.910473590477	597.595284743545	462.510536221619
mmu-mir-322	518.490295448437	560.147280305838	340.041622666853	348.97321339336	273.532903727034	553.425759567542
mmu-mir-342	459.678127104366	525.590466014357	406.544227837862	340.850291685009	324.062381016511	557.723570125713
mmu-mir-34c	248.287220131809	328.056243780618	615.776480899477	621.403510688803	499.231235620031	311.425965061305
mmu-let-7d	557.328519826598	526.524433968181	241.542481045643	205.2599831687	272.859177363175	545.821940887701
mmu-mir-182	206.95225275791	179.788831111086	716.471463257466	523.303610057187	947.932993950585	208.278511665204
mmu-mir-16-1	294.615673497186	325.020847930691	535.157756706321	569.229359715937	388.066385583182	300.846739071961
mmu-mir-423	589.786178771203	501.307299214937	165.001746792219	163.395694364125	294.418421006685	551.44215469454
mmu-mir-29c	340.666710974147	338.32989127268	526.374393759207	388.9629818037	280.943893729491	371.26471206353
mmu-mir-145a	384.498421343785	498.972379330378	248.75738632363	318.356046954193	280.943893729491	448.294701298439
mmu-mir-103-2	245.79047713607	278.555942227955	545.509577322563	499.872105129253	511.358310169505	266.794855418761
mmu-mir-16-2	282.686790295323	310.07736066951	479.634355219206	505.183246246251	293.744694642825	300.185537447627
mmu-mir-425	474.936000967215	360.511630175996	297.379574066584	269.930936769797	199.423003702468	392.092563230051
mmu-mir-99a	327.628164218622	398.103840317405	261.618739210476	311.795225574372	220.982247345978	401.679986782893
mmu-mir-103-1	220.545631290266	248.201983728681	481.830195955984	443.948913367918	464.197464699327	240.016189633235
mmu-mir-652	400.865958760295	409.778439740203	244.365704850073	185.577519029235	212.223804615803	418.871229015577
mmu-mir-22	309.596131471619	300.037205165903	358.863114696384	295.549382157671	277.575261910193	299.524335823293
mmu-let-7e	398.091799876141	312.879264530981	252.835376263362	214.945005205579	284.986251912649	344.155445465837
mmu-mir-5098	363.969645601043	378.957497264017	175.35356740846	278.678698609559	145.524894593693	181.169245067511
mmu-mir-144	296.557584716094	295.367365396784	287.027753450342	186.827199292058	210.202625524223	323.988795923651
mmu-mir-450b	238.577664037269	259.643091163023	309.927235419604	325.854128531132	200.096730066328	247.620008313076
mmu-mir-181b-2	159.514135838872	166.479787769097	411.249600845244	391.774762395052	450.722937422133	153.068176033317
mmu-mir-181c	213.610234079881	200.102634106754	324.670737509403	350.222893656183	287.007431004228	212.906923035542
mmu-mir-25	217.771472406112	216.447073298671	333.140408922692	268.993676572679	290.376062823527	223.155548212718
mmu-mir-133a-1	30.5157477256972	334.127035480473	69.6395205092633	584.850363001226	264.100734632999	175.879632072839
mmu-mir-133a-2	30.5157477256972	335.527987411209	64.6204559680552	585.787623198343	263.427008269139	176.87143450934
mmu-mir-375	174.77200970172	213.6451694372	256.285983135442	275.242077886795	163.041780054045	230.428766080392
mmu-mir-127	147.307836748593	172.784071457407	298.634340201886	291.487921303496	201.444182794047	169.267615829499
mmu-mir-1843b	203.623262096925	215.513105344847	235.268650369133	169.64409567824	223.003426437558	216.874132781546
mmu-mir-214	226.37136494699	233.491988455956	183.823238821749	145.900170684601	125.986830041762	263.158246484924
mmu-mir-223	182.817070465768	264.079438943686	159.98268225101	204.947563102994	177.863760058958	170.590019078167
mmu-mir-1b	34.3995701635132	510.41348676472	23.2131735030878	108.409762799907	120.597019130885	265.472452170093
mmu-mir-1a-2	34.3995701635132	509.012534833984	22.8994819692623	108.097342734201	119.923292767025	264.811250545759
mmu-mir-1954	258.55160800318	270.850706608909	116.69325058309	202.448202577347	130.02918822492	123.975304562621
mmu-mir-1a-1	34.6769860519287	503.408727111041	23.2131735030878	106.847662471378	120.597019130885	261.174641611922
mmu-mir-34b	165.339869495596	198.234698199107	187.901228761481	225.25486737387	134.745272771938	182.161047504012
mmu-mir-3071	77.3990328679048	100.401555036061	298.006957134235	334.601890370894	209.528899160364	93.5600298432583
mmu-mir-136	77.1216169794894	99.9345710591492	297.69326560041	334.289470305188	209.528899160364	93.2294290310913
mmu-mir-3470a	195.300785444462	205.472949841241	135.514742612621	220.568566388283	128.008009133341	102.486251771767
mmu-mir-186	142.0369348687	120.948850020185	230.876968895576	194.325280868997	125.986830041762	140.835945983138
mmu-mir-345	162.288294723026	153.170744427107	122.026006658124	185.889939094941	189.317108244573	154.390579281984
mmu-mir-181b-1	116.237257246065	113.710598378051	200.762581648327	193.38802067188	251.973660083524	110.090070451608
mmu-mir-532	88.495668404522	105.771870770548	248.130003255979	209.63386408858	212.897530979662	104.469856644769
mmu-mir-28a	179.765495693198	162.977407942257	114.497409846311	98.4123206973217	128.681735497201	173.56542638767
mmu-mir-93	122.61782267962	126.085673766216	192.292910235038	162.458434167007	140.808810046675	131.909724054629
mmu-mir-221	133.437042327822	125.385197800848	168.138662130474	152.460992064422	153.609610960009	135.546332988466
mmu-mir-872	122.61782267962	145.699000796517	144.925488627386	135.59030851631	100.385228215094	155.712982530652
mmu-mir-1839	143.146598422362	140.562177050486	127.986145800808	97.4750605002043	136.766451863517	142.158349231806
mmu-mir-3473f	116.237257246065	145.699000796517	123.594464327251	173.080716401004	111.838576400709	81.9890014174136
mmu-let-7j	120.675911460712	104.837902816724	144.925488627386	87.1651983319135	132.050367316499	111.081872888109
mmu-mir-218-2	90.9924114002608	99.9345710591492	146.180254762688	123.405925953784	86.9107009379001	123.975304562621
mmu-mir-7046	76.2893693142431	72.3825164213464	131.750444206714	80.2919568863863	476.324539248801	48.9289202007146
mmu-mir-218-1	88.495668404522	97.8331431630455	149.630861634769	121.843825625255	89.6056063933388	122.98350212612
mmu-mir-106b	82.669934747798	84.5240998210561	145.239180161211	134.340628253487	160.346874598606	93.2294290310913
mmu-mir-326	141.759518980284	151.069316531004	36.3882179237592	50.2996305786311	72.0887209329869	163.316801210493
mmu-mir-1195	105.695453486279	133.557417396807	96.6169924182573	133.090947990664	84.889521846321	71.0791746159029
mmu-mir-34a	60.4766636745636	64.9107727907558	168.138662130474	165.582634824065	147.546073685272	56.8633396927223
mmu-mir-1843a	81.8376870825517	89.4274315786311	124.221847394902	115.59542431114	136.766451863517	93.5600298432583
mmu-mir-3968	192.249210671893	144.064556877325	25.0953227060408	15.9334233509949	28.296507282107	144.141954104808
mmu-let-7i	80.4506076404745	82.4226719249525	109.792036838929	98.7247407630275	197.401824610889	97.1966387770952
mmu-mir-378c	71.5732992111808	82.1891799364965	133.005210342016	112.158803588376	152.26215823229	91.2458241580893
mmu-mir-429	84.611845966706	94.5642553246622	114.497409846311	114.345744048317	85.5632482101807	81.3277997930796
mmu-mir-676	110.411523589341	105.07139480518	58.974008359196	66.233053929626	119.249566403165	115.37968344628
mmu-mir-301a	68.521724438611	78.6868001096572	120.771240522822	131.216427596429	47.834571834038	76.3687876105748
mmu-mir-449a	62.1411590050562	84.757591809512	104.14558923007	107.784922668495	75.4573527522853	97.5272395892622
mmu-mir-3471-2	89.8827478465991	105.771870770548	96.9306839520828	116.220264442551	36.3812236484233	48.5983193885476
mmu-mir-8112	110.966355366172	116.279010251066	45.1715808708735	26.5557055849916	29.6439600098264	150.753970348148
mmu-mir-3473h	82.669934747798	99.9345710591492	82.8145649299348	118.407204902492	59.2879200196528	51.9043275102175
mmu-mir-31	67.6894767733648	62.8093448946522	98.4991416212103	99.6620009601448	128.681735497201	70.7485738037359
mmu-mir-874	78.5086964215665	96.1986992438539	66.1889136371827	67.4827341924492	43.7922136508799	118.355090755783
mmu-mir-200a	55.7605935715013	57.2055371717092	101.32236542564	127.46738680796	111.838576400709	48.9289202007146
mmu-mir-455	88.2182525161065	116.979486216434	37.6429840590613	28.4302259792263	33.0125918291248	120.008094816617
mmu-mir-3471-1	66.8572291081185	84.2906078326001	80.9324157269817	93.1011795803234	27.6227809182473	42.9781055817087
mmu-mir-1928	89.3279160697682	112.076154458859	4.39168147355715	13.7464828910545	72.0887209329869	111.743074512443
mmu-mir-582	66.3023973312876	63.743312848476	29.1733126457725	51.86173090716	212.223804615803	65.7895616212311
mmu-mir-340	76.2893693142431	79.387276075025	61.1698490959746	46.2381697244559	48.5082981978977	73.7239811132388
mmu-mir-185	83.2247665246288	80.0877520403929	27.2911634428194	28.1178059135205	31.6651391014055	83.9726062904155
mmu-mir-181d	40.2253038202373	40.8610979797923	92.8526940123511	76.5429160979169	89.6056063933388	41.9863031452078
mmu-mir-671	69.3539721038573	61.4083929639164	54.8960184194643	39.9897684103402	49.8557509256171	65.7895616212311
mmu-mir-15a	48.8251963611156	45.2974457604555	60.8561575621491	80.9167970177978	51.8769300171962	54.8797348197204
mmu-mir-330	72.1281309880116	62.8093448946522	41.0935909311419	44.676069395927	31.6651391014055	62.8141543117282
mmu-mir-98	85.4440936319522	51.3682374603103	41.4072824649674	32.1792667676957	48.5082981978977	50.2513234493825
mmu-mir-664	47.160701030623	29.8869745223624	80.3050326593307	60.2970726812161	64.6777309305303	37.0272909627029
mmu-mir-365-2	53.8186823525933	49.5003015526627	50.1906454120817	54.9859315642178	44.4659400147396	48.2677185763806
mmu-mir-3102	58.5347524556556	47.1653816681031	59.601391426847	40.6146085417518	37.054950012283	54.2185331953864
mmu-mir-224	63.8056543355488	52.0687134256782	47.6811131414776	35.3034674247535	26.2753281905279	62.4835534995612
mmu-mir-490	31.3479953909435	60.0074410331807	48.9358792767797	68.4199943895665	26.9490545543876	50.5819242615495
mmu-mir-497b	46.0510374769613	44.1299858181757	56.1507845547664	51.86173090716	49.1820245617574	37.3578917748699
mmu-mir-17	51.3219393568544	50.4342695064865	35.4471433222827	46.5505897901617	45.1396663785993	50.9125250737165
mmu-mir-497a	45.7736215885458	43.4295098528078	55.8370930209409	50.9244707100426	49.1820245617574	37.3578917748699
mmu-mir-3068	33.567322498267	39.4601460490566	67.7573713063103	50.9244707100426	64.0040045666706	29.7540730950291
mmu-mir-19b-1	43.5542944812224	50.9012534833984	46.1126554723501	39.0525082132229	22.9066963712295	43.3087063938757
mmu-mir-19b-2	41.6123832623144	51.1347454718544	45.1715808708735	37.8028279503998	22.9066963712295	43.9699080182097
mmu-mir-466q	63.8056543355488	53.4696653564139	17.2530343604031	36.8655677532824	26.9490545543876	32.729480404532
mmu-mir-1198	51.5993552452699	43.4295098528078	39.5251332620143	33.116526964813	34.3600445568442	37.3578917748699
mmu-mir-6481	1.10966355366172	0.933967953823824	224.28944668524	6.87324144552723	6.73726363859691	0.661201624333981
mmu-mir-877	39.9478879318218	51.6017294487663	32.9376110516786	27.4929657821089	23.5804227350892	53.5573315710524
mmu-mir-541	31.9028271677744	33.8563383261136	42.6620486002694	54.9859315642178	61.9828254750915	22.4808552273553
mmu-mir-8111	41.6123832623144	50.2007775180305	28.5459295781215	42.1767088702807	21.5592436435101	31.0764763436971
mmu-mir-361	37.7285608244984	31.988402418466	42.6620486002694	47.8002700529848	37.7286763761427	32.3988795923651
mmu-mir-744	43.5542944812224	35.0237982683934	34.5060687208062	31.5544266362841	37.054950012283	44.6311096425437
mmu-mir-365-1	30.7931636141127	31.0544344646421	45.1715808708735	51.5493108414542	39.0761291038621	30.0846739071961
mmu-mir-128-1	51.044523468439	34.3233223030255	42.0346655326184	22.4942447308164	29.6439600098264	39.6720974600388
mmu-mir-1298	26.0770935110504	24.9836427647873	58.0329337577195	44.3636493302212	53.2243827449156	30.7458755315301
mmu-mir-677	38.2833926013293	40.1606220144244	25.0953227060408	39.3649282789287	37.054950012283	39.6720974600388
mmu-mir-200c	28.0190047299584	27.5520546378028	46.4263470061756	50.6120506443369	41.0973081954411	29.7540730950291
mmu-mir-350	45.218789811715	39.4601460490566	25.4090142398664	32.8041068991072	29.6439600098264	36.6966901505359
mmu-mir-29b-1	33.2899066098515	34.0898303145696	38.2703671267123	40.9270286074576	32.3388654652651	33.721282841033
mmu-mir-210	25.7996776226349	34.3233223030255	32.6239195178531	57.7977121555699	45.813392742459	22.4808552273553
mmu-mir-155	25.2448458458041	29.6534825339064	37.0156009914102	44.3636493302212	41.0973081954411	36.3660893383689
mmu-mir-7215	23.3029346268961	19.6133270303003	35.4471433222827	20.3073042708759	171.800222784221	15.2076373596816
mmu-mir-193b	16.0901215280949	16.8114231688288	42.6620486002694	74.0435555722706	33.6863181929845	17.8524438570175
mmu-mir-215	24.6900140689732	42.7290338874399	32.6239195178531	19.0576240080528	33.6863181929845	35.374286901868
mmu-mir-29b-2	26.3545093994658	31.0544344646421	33.5649941193296	35.6158874904593	26.9490545543876	28.4316698463612
mmu-mir-8110	40.2253038202373	39.2266540606006	23.2131735030878	15.9334233509949	16.1694327326326	31.4070771558641
mmu-mir-1983	26.3545093994658	31.2879264530981	23.8405565707388	45.9257496587501	24.2541490989489	21.8196536030214
mmu-mir-338	35.2318178287595	31.5214184415541	26.3500888413429	25.93086545358	12.8008009133341	33.060081216699
mmu-mir-3065	34.9544019403441	31.2879264530981	26.3500888413429	25.93086545358	12.8008009133341	33.060081216699
mmu-mir-501	29.4060841720355	33.6228463376577	24.1542481045643	25.3060253221684	14.1482536410535	38.3496942113709
mmu-mir-653	28.2964206183738	14.0095193073574	36.7019094575847	36.2407276218708	51.2032036533365	18.5136454813515
mmu-mir-503	33.2899066098515	30.3539584992743	22.2720989016113	22.4942447308164	22.2329700073698	29.7540730950291
mmu-mir-674	33.8447383866824	32.2218944069219	21.6447158339602	18.1203638109354	18.1906118242116	32.729480404532
mmu-mir-690	19.9739439659109	32.6888783838338	28.232238044296	23.7439249936395	15.4957063687729	28.1010690341942
mmu-mir-107	15.535289751264	16.3444391919169	32.6239195178531	43.1139690673981	48.5082981978977	14.5464357353476
mmu-mir-411	14.1482103091869	27.0850706608909	34.8197602546317	29.6799062420494	24.9278754628086	20.1666495421864
mmu-mir-128-2	39.1156402665755	23.5826908340516	25.0953227060408	10.3098621682908	14.1482536410535	29.4234722828621
mmu-mir-1191a	26.3545093994658	34.7903062799374	15.37088515745	28.742646044932	10.779621821755	16.1994397961825
mmu-mir-20a	18.3094486354183	19.8468190187563	27.6048549766449	31.2420065705783	22.2329700073698	23.1420568516893
mmu-mir-1247	38.8382243781601	23.1157068571396	15.6845766912755	7.18566151123301	14.1482536410535	36.0354885262019
mmu-mir-709	33.0124907214361	47.1653816681031	5.9601391426847	10.3098621682908	7.4109900024566	18.5136454813515
mmu-mir-8114	18.3094486354183	18.9128510649324	31.3691533825511	12.8092226939371	28.9702336459667	32.3988795923651
mmu-mir-3084-1	26.6319252878812	27.7855466262588	15.0571936236245	11.2471223654082	7.4109900024566	37.3578917748699
mmu-mir-3084-2	26.6319252878812	27.7855466262588	15.0571936236245	11.2471223654082	7.4109900024566	37.3578917748699
mmu-mir-324	27.1867570647121	17.9788831111086	17.5667258942286	25.3060253221684	30.3176863736861	21.4890527908544
mmu-mir-219a-1	18.0320327470029	19.3798350418443	24.1542481045643	28.4302259792263	18.1906118242116	25.4562625368583
mmu-mir-187	31.0705795025281	26.1511027070671	14.743502089799	10.3098621682908	17.516885460352	26.7786657855262
mmu-mir-1981	23.5803505153115	19.8468190187563	25.0953227060408	15.9334233509949	18.8643381880713	23.4726576638563
mmu-mir-130b	29.6835000604509	28.4860225916266	15.37088515745	12.8092226939371	4.04235818315814	23.8032584760233
mmu-mir-700	13.8707944207715	14.9434872611812	30.7417703149	28.1178059135205	32.3388654652651	12.5628308623456
mmu-mir-18a	21.3610234079881	23.5826908340516	10.9792036838929	8.12292170835036	8.75844273017598	34.382484465367
mmu-mir-574	20.8061916311572	22.6487228802277	16.6256512927521	15.3085832195834	14.8219800049132	17.8524438570175
mmu-mir-335	14.4256261976023	13.3090433419895	28.5459295781215	24.0563450593453	13.4745272771938	14.8770365475146
mmu-mir-331	19.4191121890801	14.7099952727252	14.4298105559735	19.3700440737586	25.6016018266682	17.8524438570175
mmu-mir-466i	21.6384392964035	24.5166587878754	9.72443754859083	14.6837430881718	11.4533481856147	15.2076373596816
mmu-mir-6516	21.3610234079881	17.7453911226527	11.2928952177184	15.3085832195834	8.08471636631629	22.4808552273553
mmu-mir-7a-1	13.0385467555252	13.0755513535335	23.2131735030878	14.371323022466	27.6227809182473	15.2076373596816
mmu-mir-19a	13.8707944207715	12.1415833997097	24.4679396383898	26.2432855192858	7.4109900024566	11.2404276136777
mmu-mir-205	7.49022898721659	36.4247501991291	9.09705448093981	15.3085832195834	6.06353727473721	11.2404276136777
mmu-mir-1249	15.535289751264	19.8468190187563	16.6256512927521	8.74776183976193	8.08471636631629	21.4890527908544
mmu-mir-1192	11.651467313448	17.9788831111086	17.5667258942286	21.2445644679933	15.4957063687729	10.5792259893437
mmu-mir-194-1	15.535289751264	18.9128510649324	15.0571936236245	13.7464828910545	11.4533481856147	16.5300406083495
mmu-mir-3086	14.4256261976023	10.9741234574299	21.0173327663092	16.2458434167007	23.5804227350892	12.5628308623456
mmu-mir-421	21.0836075195726	12.1415833997097	17.2530343604031	8.43534177405614	12.8008009133341	18.8442462935184
mmu-mir-300	9.4321402061246	13.0755513535335	21.9584073677857	18.745203942347	17.516885460352	10.5792259893437
mmu-mir-1943	20.8061916311572	21.4812629379479	9.09705448093981	2.81178059135205	10.1058954578954	18.8442462935184
mmu-mir-1900	13.3159626439406	25.9176107186111	11.9202782853694	8.74776183976193	4.04235818315814	13.2240324866796
mmu-mir-194-2	12.7611308671098	18.2123750995646	13.8024274883225	13.7464828910545	12.1270745494744	13.2240324866796
mmu-mir-208b	7.49022898721659	6.07079169985486	35.7608348561082	18.745203942347	8.08471636631629	8.59562111634175
mmu-mir-1941	18.3094486354183	15.877455215005	14.4298105559735	9.37260197117349	7.4109900024566	13.8852341110136
mmu-mir-434	14.9804579744332	19.8468190187563	6.90121374416123	13.4340628253487	6.73726363859691	15.2076373596816
mmu-mir-706	12.7611308671098	17.5118991341967	12.2339698191949	19.6824641394643	8.08471636631629	7.60381867984078
mmu-mir-5100	17.7546168585875	20.0803110072122	10.0381290824163	6.24840131411566	4.71608454701783	14.8770365475146
