"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-let-7g-5p",25947.8555603012,-0.268985040323105,0.278834317431576,-0.964676955120892,0.334706641274615,0.462631169091614
"mmu-let-7g-3p",29.6320300539533,-2.27199318110231,0.425113540476708,-5.34443852001179,9.06977528356148e-08,2.17674606805476e-06
"mmu-let-7i-5p",58940.7520286824,0.0890429680458106,0.284287543151931,0.313214455542372,0.754117736651202,0.810697603676036
"mmu-let-7i-3p",80.1884357913615,-1.42081444378284,0.419666105468614,-3.38558302724093,0.000710272192196469,0.00416693019421928
"mmu-miR-1a-3p",5737.91047869437,0.966724098651601,1.05999946882934,0.912004323661833,0.361766441519167,0.491923640521823
"mmu-miR-15b-5p",2465.20282742544,1.01786148150385,0.251909307770008,4.04058702917462,5.33175743738155e-05,0.000502708558381689
"mmu-miR-15b-3p",82.8870464299171,-1.27699712906418,0.305683542845307,-4.17751350687012,2.94713168116139e-05,0.000299247216856387
"mmu-miR-23b-5p",2.95500309858071,1.01368818192136,1.06004978819462,0.95626468983856,0.338938524546642,NA
"mmu-miR-23b-3p",11353.067086505,0.359059574294958,0.241030383491227,1.48968594371434,0.136306832229335,0.248686196605836
"mmu-miR-27b-5p",106.973783650791,-0.169381911771058,0.324016581305308,-0.522756925243452,0.601143418614155,0.697590604457745
"mmu-miR-27b-3p",231448.505011757,0.295202688243306,0.233880109605759,1.26219663887158,0.206878037867623,0.331004860588196
"mmu-miR-29b-1-5p",1.87765443612491,-0.961108239595855,1.23346394702433,-0.779194432001421,0.435865189548274,NA
"mmu-miR-29b-3p",2050.89623432358,-0.122978432553012,0.32688140824404,-0.376217274679628,0.706755373890769,0.782320413866511
"mmu-miR-30a-5p",1185247.74570286,0.00524003728788068,0.244709854152929,0.0214132663599479,0.982915990967696,0.986653314127268
"mmu-miR-30a-3p",7813.75173416909,-0.60102354277093,0.325997192427381,-1.84364637712276,0.0652346925250977,0.149964877083584
"mmu-miR-30b-5p",23182.8192850473,-0.823047317911483,0.257256414931473,-3.19932670340105,0.00137748973350816,0.00743026641253882
"mmu-miR-30b-3p",525.979324959298,-0.368087441152158,0.245591353208155,-1.49878013351789,0.133930680080939,0.248124207307845
"mmu-miR-99a-5p",8822.67097727665,0.18229387825316,0.261092008681826,0.698197846703567,0.485053472932973,0.604028853086343
"mmu-miR-99a-3p",75.1440009653636,0.597379885027708,0.351701145232758,1.69854404264836,0.0894051275139787,0.189581957138075
"mmu-miR-99b-5p",79041.652493148,0.694065682926983,0.29061680627965,2.38825032802511,0.0169288065056938,0.0535234121856666
"mmu-miR-99b-3p",91.5344550901569,-0.337743216923507,0.326228302969226,-1.03529710282485,0.300530182434868,0.43119547914568
"mmu-miR-101a-5p",80.5925891587469,0.105528430901431,0.363948092725421,0.289954619932701,0.771850954904596,0.816708024428109
"mmu-miR-101a-3p",35606.8375545086,-1.37557753165844,0.300792718683973,-4.57317430314425,4.80390178223833e-06,6.50374395133804e-05
"mmu-miR-125a-5p",126840.220691672,1.28517836420714,0.256715243932379,5.00624094043152,5.55032751022217e-07,1.04663318764189e-05
"mmu-miR-125a-3p",84.9780178434645,1.28453071607747,0.322890077886402,3.97822913756239,6.94304457028524e-05,0.000621343649679764
"mmu-miR-125b-5p",12146.6544995666,1.43214075484735,0.251406069909421,5.69652417446935,1.22274561017526e-08,3.58672045651411e-07
"mmu-miR-125b-2-3p",2285.77459118514,0.501675686136029,0.337008548529935,1.48861412662791,0.136589009499417,0.248686196605836
"mmu-miR-126a-5p",68901.0637268471,-2.0660587670456,0.331655349303688,-6.22953548430111,4.67820190978257e-10,1.9118557042499e-08
"mmu-miR-126a-3p",44510.0560173893,-0.353917640408214,0.272697024171443,-1.29784196026176,0.194341647542655,0.317459701865774
"mmu-miR-127-5p",13.3876031816803,-0.787388312535158,0.603458259528487,-1.30479333094286,0.1919632306468,0.315752603680718
"mmu-miR-127-3p",2679.99929130913,-0.45257566359097,0.293460424838438,-1.54220339536457,0.123024175259633,0.233657426392396
"mmu-miR-128-3p",290.269696830979,1.58099403407123,0.379317209059993,4.16799975405593,3.07284266253295e-05,0.000300455727003222
"mmu-miR-130a-3p",9383.88929846402,0.470676235525643,0.274475265605475,1.71482204229718,0.0863778589693956,0.185396380226995
"mmu-miR-9-5p",27.0970972485327,-0.987433914355881,0.405854371245094,-2.4329759251492,0.0149752965623658,0.0485422465725351
"mmu-miR-132-5p",9.26682314349356,0.179167414564882,0.582734874687126,0.307459570977416,0.75849359131811,0.810697603676036
"mmu-miR-132-3p",118.63832773873,-0.706001971268541,0.329576557984393,-2.14214862727578,0.0321815239286354,0.0858173971430276
"mmu-miR-133a-3p",6372.62922371509,1.48407886475977,1.0343931807248,1.43473380568873,0.151362967015255,0.269998806027211
"mmu-miR-134-5p",25.1655920762874,-1.21153318768558,0.428430168341265,-2.82784284864024,0.00468628051370893,0.0193309071190493
"mmu-miR-135a-5p",5.58990995334882,-0.878821893943708,0.743241411889635,-1.18241782533265,0.237039953751274,0.361725709770731
"mmu-miR-136-5p",117.930579325082,-0.279617548194362,0.31058077669556,-0.900305392913776,0.367957751929196,0.496884125367304
"mmu-miR-136-3p",42.0230067469703,-0.786690127559301,0.388259061407329,-2.02619901441005,0.0427443946093159,0.105462805391209
"mmu-miR-138-5p",14.3767854297588,-0.140054488277666,0.528700861582596,-0.264903083112881,0.791084123180526,0.832056607648043
"mmu-miR-140-5p",539.737323901599,-0.591319274737536,0.295933121357007,-1.99815171761116,0.0457002142247297,0.111196834611324
"mmu-miR-140-3p",188.737976013884,-0.287678463817046,0.296673841345253,-0.969679236000659,0.332206403517642,0.460380527709488
"mmu-miR-141-5p",58.9911376601537,-0.161529227649341,0.340604156617696,-0.474243266005253,0.635326443500029,0.724519140751653
"mmu-miR-141-3p",105313.01177476,0.408546627281572,0.268604420834963,1.52099740581929,0.128260488323875,0.240196857679647
"mmu-miR-142a-5p",19469.9987014805,0.942793249456787,0.352796525195794,2.67234278720165,0.00753236601293316,0.0282063067718348
"mmu-miR-142a-3p",2000.45416258863,0.431637338094702,0.276841578390184,1.55914924558892,0.118961060315884,0.230078534237315
"mmu-miR-144-5p",1592.61729753799,-1.32108197641368,0.302795646699281,-4.36294904109272,1.28320841604845e-05,0.000138272253810935
"mmu-miR-144-3p",1756.27860054453,0.828462080059494,0.30423166351288,2.72312904742876,0.00646667925309245,0.0247420771422668
"mmu-miR-145a-5p",12357.8556810606,-0.181882615356366,0.293329880549772,-0.620061669187856,0.535217186699138,0.640804250741825
"mmu-miR-145a-3p",3131.07231690054,0.452519301629696,0.246309165441546,1.83720041768842,0.0661803140489382,0.1512439091911
"mmu-miR-146a-5p",150154.170976298,0.857551948817293,0.28198931022604,3.04107963571345,0.00235731473545671,0.0117420960407655
"mmu-miR-146a-3p",1.97907856081458,0.295596913368866,1.17837464158465,0.250851387103301,0.801929010282966,NA
"mmu-miR-149-5p",98.4491886689035,0.861169125784097,0.364687442668909,2.36138957645968,0.0182065931406676,0.0549823866034501
"mmu-miR-150-5p",5320.20578277247,1.38919444828289,0.298227223174061,4.65817450700027,3.1902572910969e-06,4.67904402694212e-05
"mmu-miR-150-3p",26.4332102591526,2.07672107234859,0.500415513515403,4.14999338801407,3.32484878757405e-05,0.000319185483607109
"mmu-miR-151-5p",19156.9134375421,1.65122812149431,0.282858257541877,5.83765217195348,5.29415349262598e-09,1.74707065256657e-07
"mmu-miR-151-3p",26811.0835090736,0.461290391948486,0.270961762416025,1.70241877612324,0.0886768927475212,0.1887959652044
"mmu-miR-152-5p",1156.00026910491,-1.89951467196501,0.272893891181828,-6.96063463985486,3.3874324090745e-12,2.54339757406206e-10
"mmu-miR-152-3p",1034.96502100448,-0.708217732187976,0.239943055787901,-2.95160753814026,0.00316124446111331,0.0148291732155138
"mmu-miR-153-5p",11.3339131569626,-0.979994507244249,0.581972852509092,-1.68391790616889,0.0921975352799195,0.192412247540702
"mmu-miR-153-3p",319.327471599043,-0.121324917002224,0.291979854334589,-0.415524959003487,0.677757647758366,0.761468036282523
"mmu-miR-154-5p",4.25809178595635,0.375748427426656,0.873313976502721,0.430255827270028,0.667009555713456,NA
"mmu-miR-155-5p",500.431200290009,-0.294874305866574,0.259651670593116,-1.1356534128704,0.25610164523485,0.38306421723513
"mmu-miR-10b-5p",94059.9530836253,-1.17945559595997,0.306207023648547,-3.85182410875625,0.000117241224816458,0.000982593122271267
"mmu-miR-10b-3p",4.94805740162,-0.0259364654264852,0.803044646976683,-0.0322976630553871,0.974234672845718,0.979801728119122
"mmu-miR-181a-5p",447595.271125736,0.191909440267949,0.281978563894068,0.680581664143963,0.496136232270445,0.611491901064178
"mmu-miR-181a-2-3p",371.756953370835,-0.056344813050425,0.300082435424474,-0.187764448694652,0.851061305867785,0.88538793875208
"mmu-miR-182-5p",36742.5843805532,-0.790685068701821,0.266440355383171,-2.96758750214369,0.00300146836612891,0.0144070481574188
"mmu-miR-183-5p",8153.96616809381,-0.688313597730798,0.335071855706047,-2.05422683525722,0.03995374226841,0.10072569560492
"mmu-miR-184-3p",70.5809807579209,-0.0573859038179637,0.385265841310571,-0.148951445118395,0.881591946625119,0.910920837217344
"mmu-miR-185-5p",224.642674466982,0.982749621421949,0.282208669124978,3.48235093014358,0.000497031865853617,0.00316184126711698
